Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
CPSBB_CAP001,49.84868481,212.7449529,13.0676404,13.70390596,13.92202751,14.90188233,16.24858675,1.085729066,1.027095335,1.199091468,0.794043088,0.565633133,1.446853172,0.059570357,0.06305133,0.519946699,0.028576322,179.0288349,166.9907932,0.093357739,93.64362257,126.4264083,0.014115813,0.039438493,0.002168133,0.232056217,0.060351496,0.011047987,0.110244471,0.370405323,0.740460654,0.890413179,0.937561782,1.030471401,0.436492581,173.1532475,166.511151,118.4258319,137.5480932,72.55433747,-6.573012828,31.62144539,101.8179258,32.64664433,1.767790717,0.590029805,0.242201276
CPSBB_CAP002,93.67344768,585.7544714,30.0811416,30.98626684,20.68472783,22.95878524,24.37038695,0.751119563,0.681703295,0.820413437,0.775597418,0.551484965,1.440943585,0.062665236,0.135300881,0.523097976,0.050141842,180.0808345,211.8114997,0.19756797,149.982675,150.7360661,0.005467692,0.031706739,0.002168133,0.244481387,0.090487865,0.011047987,0.170819687,0.382629528,0.715090118,0.890413179,0.937561782,0.681783949,0.445822489,148.2716505,153.6322943,104.240592,122.1781588,65.86187084,-12.52288404,30.73356613,112.0398184,33.43811418,1.752899463,0.605726685,0.229892192
CPSBB_CAP003,74.33129932,352.1269178,12.67909905,14.87503698,25.88630043,27.32567918,28.5331381,1.852407151,2.030376976,2.200118609,1.015391128,0.469425592,2.312607745,0.081234512,0.210834502,0.453769885,0.022414744,197.9998935,98.75900043,0.074967698,85.30665768,66.8911335,0.002584984,0.047170248,0.002168133,0.433965227,0.075419681,0.011047987,0.314287303,0.248163277,0.749974605,0.886433832,0.937561782,2.04692822,0.455152397,171.2980685,170.9783803,118.2550045,137.2604725,73.63906929,-10.17486332,33.25133801,106.9937783,35.1400961,3.49517613,0.576949071,0.248355818
CPSBB_CAP004,102.5613529,691.8435477,31.55957435,32.79530443,23.42326069,26.34649604,27.74132829,0.819340918,0.740913359,0.882977633,0.812488758,0.497721928,1.745287342,0.068854995,0.118880528,0.501039038,0.059384208,213.5753312,215.1017884,0.173047916,134.4658977,137.769019,0.014115813,0.064566695,0.004783747,0.260012849,0.096515139,0.014561744,0.202701379,0.370405323,0.702404849,0.890413179,0.937561782,0.74428453,0.44271252,166.2906709,163.3840905,118.8988922,134.6524958,70.84835015,-7.803561934,28.88487469,105.1564339,30.1950182,2.637439925,0.639736592,0.205274025
CPSBB_CAP006,130.8600768,799.8603301,17.04854285,22.70656678,46.31542763,49.64316879,50.47711202,2.216254378,2.750766088,2.94430326,1.255184837,0.480744126,2.643544646,0.105993545,0.289652194,0.409652008,0.034737899,229.7206021,135.4070545,0.139332841,66.88029483,44.61992205,0.002584984,0.027840862,0.002168133,0.561323218,0.12363787,0.011047987,0.751066489,0.1778741,0.743631971,0.886433832,0.937561782,2.764040151,0.48625209,158.6416253,161.2696019,109.5690911,128.1955722,69.37903159,-11.45862536,32.36345876,109.3470437,34.6221016,1.52953066,0.626655859,0.214505838
CPSBB_CAP007,144.2573349,1074.243703,22.98861565,26.8545951,49.22450385,53.78333912,54.3310245,2.034330764,2.161954896,2.387811198,1.052282468,0.475084859,2.256466663,0.090519149,0.240391137,0.456921162,0.047061054,243.2797074,149.1474213,0.185307943,86.2056528,59.6696608,0.002584984,0.039438493,0.002168133,0.440177812,0.117610596,0.011047987,0.610787042,0.226770919,0.727775386,0.886433832,0.937561782,2.165350374,0.464482305,166.6743917,166.6832221,121.6222743,136.3555983,71.90678544,-9.200401459,28.7612058,107.7659955,30.45562413,2.122202552,0.621423565,0.211428567
CPSBB_CAP008,183.1966929,1697.10482,30.13053244,31.36246815,72.46431688,74.60576722,75.70331831,2.407923899,2.428400184,2.532696705,0.664923399,0.415662554,1.671417498,0.062665236,0.26337963,0.415954562,0.019333956,138.8979744,80.13020474,0.019797576,67.53328115,54.97965401,0.002584984,0.064566695,0.002168133,0.241375095,0.108569686,0.011047987,0.419496888,0.394853733,0.775345142,0.890413179,0.937561782,2.438379228,0.358743348,120.9101391,128.1525418,80.78468352,98.8776485,55.21835073,-13.2578877,29.41126025,114.2466288,32.48255912,6.285797048,0.545555311,0.276051256
CPSBB_CAP009,214.8406439,1771.130695,24.15094697,28.23836165,82.66412192,88.96164356,89.50906444,3.177850619,3.448129064,3.74117355,0.923162778,0.424151455,2.268285838,0.084329391,0.348765463,0.425408393,0.028576322,197.1816716,93.53699389,0.096422746,41.77221149,31.44745018,0.002584984,0.165079502,0.002168133,0.362520501,0.183910607,0.011047987,0.932792136,0.339844812,0.740460654,0.892402852,0.937561782,3.458125552,0.427162673,118.5412182,124.893119,79.0862655,96.39570787,53.91338548,-12.5860744,28.54240698,113.7074081,31.41761391,2.488527389,0.631888152,0.232969463
CPSBB_CAP010,482.099103,2767.970076,14.70083115,42.8284297,173.8982623,200.2270783,213.7180679,5.097794467,12.2770075,15.35835695,1.298224734,0.568462767,2.433754289,0.20502968,0.45713979,0.226877948,0.043980265,109.9036979,145.1111316,0.047382637,71.84602802,12.75379107,0.002584984,0.186341827,0.002168133,0.586173558,0.898142539,0.011047987,2.963655942,0.080080463,0.696062215,0.989896838,0.937561782,12.37597162,0.5360116,121.8488279,123.37757,89.31619533,100.5322756,53.99556213,-8.405533253,21.96575853,111.1810596,23.69595681,4.278456068,0.579565218,0.245278547
CPSBB_CAP011,145.7157623,1026.484863,20.85163824,24.07070543,51.86136664,56.711031,57.11385814,2.388432083,2.513925832,2.773074933,1.033836798,0.480744126,2.223963932,0.084329391,0.279799983,0.447467331,0.037818688,242.4848633,131.4738707,0.154657875,75.15651681,50.38761907,0.002584984,0.056834941,0.002168133,0.433965227,0.144733328,0.011047987,0.610787042,0.226770919,0.727775386,0.884444159,0.937561782,2.523906339,0.461372336,171.1458487,167.523723,110.915999,133.0883562,72.43929015,-9.140536908,36.14011658,104.1345775,37.65606937,1.57122617,0.584797511,0.245278547
