Genotype,Taxa
CAPS-1,CPSBB_CAP001
CAPS-2,CPSBB_CAP002
CAPS-3,CPSBB_CAP003
CAPS-4,CPSBB_CAP004
CAPS-6,CPSBB_CAP006
CAPS-7,CPSBB_CAP007
CAPS-8,CPSBB_CAP008
CAPS-9,CPSBB_CAP009
CAPS-10,CPSBB_CAP010
CAPS-11,CPSBB_CAP011
CAPS-12,CPSBB_CAP012
CAPS-13,CPSBB_CAP013
CAPS-14,CPSBB_CAP014
CAPS-15,CPSBB_CAP015
CAPS-16,CPSBB_CAP016
CAPS-17,CPSBB_CAP017
CAPS-18,CPSBB_CAP018
CAPS-19,CPSBB_CAP019
CAPS-20,CPSBB_CAP020
CAPS-21,CPSBB_CAP021
CAPS-22,CPSBB_CAP022
CAPS-23,CPSBB_CAP023
CAPS-24,CPSBB_CAP024
CAPS-25,CPSBB_CAP025
CAPS-26,CPSBB_CAP026
CAPS-28,CPSBB_CAP028
CAPS-29,CPSBB_CAP029
CAPS-30,CPSBB_CAP030
CAPS-31,CPSBB_CAP031
CAPS-32,CPSBB_CAP032
CAPS-33,CPSBB_CAP033
CAPS-34,CPSBB_CAP034
CAPS-35,CPSBB_CAP035
CAPS-36,CPSBB_CAP036
CAPS-37,CPSBB_CAP037
CAPS-38,CPSBB_CAP038
CAPS-39,CPSBB_CAP039
CAPS-40,CPSBB_CAP040
CAPS-41,CPSBB_CAP041
CAPS-42,CPSBB_CAP042
CAPS-43,CPSBB_CAP043
CAPS-44,CPSBB_CAP044
CAPS-45,CPSBB_CAP045
CAPS-47,CPSBB_CAP047
CAPS-48,CPSBB_CAP048
CAPS-49,CPSBB_CAP049
CAPS-50,CPSBB_CAP050
CAPS-51,CPSBB_CAP051
CAPS-52,CPSBB_CAP052
CAPS-53,CPSBB_CAP053
CAPS-54,CPSBB_CAP054
CAPS-55,CPSBB_CAP055
CAPS-56,CPSBB_CAP056
CAPS-57,CPSBB_CAP057
CAPS-58,CPSBB_CAP058
CAPS-59,CPSBB_CAP059
CAPS-60,CPSBB_CAP060
CAPS-61,CPSBB_CAP061
CAPS-62,CPSBB_CAP062
CAPS-63,CPSBB_CAP063
CAPS-64,CPSBB_CAP064
CAPS-65,CPSBB_CAP065
CAPS-66,CPSBB_CAP066
CAPS-67,CPSBB_CAP067
CAPS-68,CPSBB_CAP068
CAPS-69,CPSBB_CAP069
CAPS-70,CPSBB_CAP070
CAPS-71,CPSBB_CAP071
CAPS-72,CPSBB_CAP072
CAPS-73,CPSBB_CAP073
CAPS-74,CPSBB_CAP074
CAPS-75,CPSBB_CAP075
CAPS-76,CPSBB_CAP076
CAPS-77,CPSBB_CAP077
CAPS-78,CPSBB_CAP078
CAPS-79,CPSBB_CAP079
CAPS-80,CPSBB_CAP080
CAPS-81,CPSBB_CAP081
CAPS-82,CPSBB_CAP082
CAPS-84,CPSBB_CAP084
CAPS-85,CPSBB_CAP085
CAPS-86,CPSBB_CAP086
CAPS-87,CPSBB_CAP087
CAPS-88,CPSBB_CAP088
CAPS-89,CPSBB_CAP089
CAPS-90,CPSBB_CAP090
CAPS-91,CPSBB_CAP091
CAPS-93,CPSBB_CAP093
CAPS-94,CPSBB_CAP094
CAPS-95,CPSBB_CAP095
CAPS-96,CPSBB_CAP096
CAPS-97,CPSBB_CAP097
CAPS-98,CPSBB_CAP098
CAPS-101,CPSBB_CAP101
CAPS-102,CPSBB_CAP102
CAPS-103,CPSBB_CAP103
CAPS-104,CPSBB_CAP104
CAPS-105,CPSBB_CAP105
CAPS-107,CPSBB_CAP107
CAPS-108,CPSBB_CAP108
CAPS-110,CPSBB_CAP110
CAPS-111,CPSBB_CAP111
CAPS-112,CPSBB_CAP112
CAPS-113,CPSBB_CAP113
CAPS-114,CPSBB_CAP114
CAPS-115,CPSBB_CAP115
CAPS-116,CPSBB_CAP116
CAPS-117,CPSBB_CAP117
CAPS-118,CPSBB_CAP118
CAPS-119,CPSBB_CAP119
CAPS-120,CPSBB_CAP120
CAPS-121,CPSBB_CAP121
CAPS-122,CPSBB_CAP122
CAPS-123,CPSBB_CAP123
CAPS-124,CPSBB_CAP124
CAPS-125,CPSBB_CAP125
CAPS-126,CPSBB_CAP126
CAPS-127,CPSBB_CAP127
CAPS-128,CPSBB_CAP128
CAPS-129,CPSBB_CAP129
CAPS-130,CPSBB_CAP130
CAPS-131,CPSBB_CAP131
CAPS-132,CPSBB_CAP132
CAPS-133,CPSBB_CAP133
CAPS-134,CPSBB_CAP134
CAPS-135,CPSBB_CAP135
CAPS-136,CPSBB_CAP136
CAPS-137,CPSBB_CAP137
CAPS-138,CPSBB_CAP138
CAPS-139,CPSBB_CAP139
CAPS-140,CPSBB_CAP140
CAPS-141,CPSBB_CAP141
CAPS-142,CPSBB_CAP142
CAPS-143,CPSBB_CAP143
CAPS-144,CPSBB_CAP144
CAPS-145,CPSBB_CAP145
CAPS-146,CPSBB_CAP146
CAPS-147,CPSBB_CAP147
CAPS-148,CPSBB_CAP148
CAPS-149,CPSBB_CAP149
CAPS-150,CPSBB_CAP150
CAPS-151,CPSBB_CAP151
CAPS-152,CPSBB_CAP152
CAPS-153,CPSBB_CAP153
CAPS-154,CPSBB_CAP154
CAPS-155,CPSBB_CAP155
CAPS-156,CPSBB_CAP156
CAPS-157,CPSBB_CAP157
CAPS-158,CPSBB_CAP158
CAPS-159,CPSBB_CAP159
CAPS-160,CPSBB_CAP160
CAPS-161,CPSBB_CAP161
CAPS-162,CPSBB_CAP162
CAPS-163,CPSBB_CAP163
