Genotype,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
CAPS-1,3,45.03,143.20,12.76,13.10,12.78,13.44,14.72,1.02,1.00,1.15,0.81,0.57,1.43,0.05,0.05,0.53,0.01,151.98,145.55,0.03,97.10,148.43,0.01,0.02,0.00,0.23,0.02,0.00,0.06,0.38,0.76,0.89,0.89,1.01,0.42,176.66,169.92,124.20,141.94,73.92,-7.07,30.29,103.34,31.14,1.68,0.55,0.26
CAPS-2,3,93.20,556.65,30.46,31.26,20.21,22.84,24.00,0.73,0.66,0.80,0.72,0.57,1.25,0.06,0.13,0.53,0.06,194.00,221.25,0.24,128.30,158.90,0.01,0.01,0.00,0.24,0.07,0.00,0.14,0.38,0.71,0.89,0.89,0.66,0.45,154.23,157.27,111.42,128.02,67.66,-11.32,29.14,111.24,31.28,1.70,0.59,0.23
CAPS-3,3,56.73,184.25,10.92,12.47,18.84,20.64,22.02,1.66,1.74,2.05,0.98,0.39,2.65,0.08,0.18,0.41,0.02,216.63,85.13,0.09,79.65,60.33,0.00,0.04,0.00,0.41,0.07,0.00,0.23,0.28,0.73,0.88,0.87,1.76,0.45,177.08,173.70,120.70,141.03,75.03,-9.68,34.08,105.78,35.52,3.09,0.55,0.25
CAPS-4,3,86.67,478.17,27.47,28.53,20.26,22.61,23.29,0.79,0.74,0.85,0.73,0.44,1.79,0.07,0.11,0.47,0.05,215.05,213.15,0.17,132.33,140.15,0.02,0.01,0.01,0.24,0.09,0.02,0.14,0.35,0.71,0.89,0.89,0.74,0.42,174.01,169.09,123.55,140.48,73.35,-7.82,29.87,104.74,30.89,2.42,0.62,0.21
CAPS-5,3,121.49,700.41,17.42,20.26,45.72,48.22,48.85,2.39,2.64,2.80,1.04,0.40,2.59,0.09,0.29,0.42,0.02,155.25,132.73,0.06,65.75,37.13,0.00,0.16,0.00,0.47,0.07,0.00,0.58,0.24,0.76,0.89,0.89,2.65,0.44,128.53,137.35,85.45,105.62,58.83,-14.47,32.07,114.30,35.18,1.03,0.58,0.24
CAPS-6,3,121.55,692.40,16.53,21.87,42.33,45.44,46.33,2.08,2.57,2.78,1.28,0.50,2.55,0.11,0.28,0.42,0.04,225.08,103.68,0.16,81.95,44.43,0.00,0.00,0.00,0.58,0.09,0.00,0.67,0.18,0.74,0.89,0.89,2.58,0.49,154.27,154.61,104.96,123.93,66.94,-10.53,31.78,108.29,33.49,1.17,0.62,0.21
CAPS-7,3,139.19,1000.34,23.14,27.01,46.65,51.08,51.73,1.93,2.06,2.26,1.08,0.49,2.21,0.09,0.23,0.45,0.05,245.50,206.93,0.20,98.08,59.05,0.00,0.00,0.00,0.45,0.10,0.00,0.57,0.21,0.73,0.88,0.88,2.06,0.47,171.80,170.46,122.64,139.31,73.53,-9.73,30.69,107.61,32.20,2.09,0.58,0.23
CAPS-8,3,175.69,1530.28,28.85,30.08,71.54,72.16,73.12,2.41,2.50,2.55,0.63,0.36,1.74,0.06,0.27,0.40,0.05,130.30,69.35,0.01,57.98,45.93,0.00,0.12,0.00,0.24,0.07,0.00,0.41,0.41,0.79,0.89,0.89,2.51,0.33,121.26,129.22,80.51,99.26,55.62,-13.50,30.37,113.98,33.24,5.39,0.45,0.32
CAPS-9,3,211.27,1705.45,24.21,26.95,84.73,88.84,88.82,3.30,3.50,3.69,0.85,0.39,2.26,0.08,0.35,0.43,0.02,245.90,80.60,0.08,32.83,29.35,0.00,0.22,0.00,0.34,0.11,0.00,0.86,0.36,0.76,0.89,0.88,3.51,0.39,115.79,123.44,75.95,94.04,53.30,-13.09,29.66,113.87,32.44,3.15,0.64,0.22
CAPS-10,3,460.86,2527.05,14.39,40.24,171.45,192.38,203.65,4.85,12.05,14.45,1.20,0.55,2.28,0.24,0.46,0.20,0.01,67.78,262.55,0.06,96.53,7.05,0.00,0.38,0.00,0.51,0.92,0.00,2.10,0.05,0.71,1.14,1.11,12.13,0.51,128.03,130.45,93.14,105.59,56.87,-9.20,23.79,111.11,25.52,4.57,0.55,0.25
