Accession Accession,Rep,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
LYC-1 LYC-1,1,206.6371449,2848.101831,61.976,62.14533333,54.356,58.58933333,58.9805018,0.9428,0.877,0.9732,0.709,0.571,1.2416,0.0343,0.0393,0.5227,0.0386,206.9,214.4,0.0945,170.3,142.2,0,0,0,0.1374,0.1207,0,0.1739,0.4769,0.741,0.8889,0.8873,0.8767,0.4089,114.6747,55.1113,41.3636,73.3832,32.8059,27.5204,23.912,40.9868,36.4576,3.3706,0.6374,0.1998
LYC-2 LYC-2,1,296.0710275,5235.494905,93.218,93.472,56.642,71.12,73.99450953,0.7609,0.6076,0.7947,0.7484,0.6776,1.1046,0.0664,0.1353,0.5313,0.0952,277.3,265.9,0.1076,173.3,167.4,0,0,0,0.1086,0.3256,0,0.3379,0.4905,0.6365,0.89,0.887,0.6068,0.4947,134.7066,59.004,42.8028,83.5199,37.5053,33.9309,30.3378,41.8001,45.5159,1.1655,0.7539,0.1304
LYC-3 LYC-3,1,311.1813267,6536.015602,86.69866667,86.95266667,87.376,93.30266667,95.49733673,1.073,1.0078,1.1307,0.7861,0.5645,1.3927,0.0431,0.0553,0.5193,0.0527,236.8,206.4,0.1314,160.9,124.2,0,0,0,0.176,0.2121,0,0.3792,0.471,0.7484,0.8889,0.887,1.0073,0.4194,131.8183,54.5466,38.6354,80.2209,35.9153,34.9767,30.8596,41.4217,46.6443,2.036,0.7576,0.1509
LYC-4 LYC-4,1,291.4056741,5601.945785,96.012,96.43533333,67.73333333,70.78133333,70.68630347,0.734,0.7055,0.7391,0.7416,0.6852,1.0824,0.0416,0.1133,0.567,0.0315,170.8,197.3,0.2195,174.6,167,0,0,0,0.1328,0.1614,0,0.1394,0.4605,0.7665,0.8889,0.8889,0.7064,0.4172,156.4794,74.4234,54.1366,99.1101,44.6563,35.3396,32.9737,43.0165,48.3337,2.1772,0.7191,0.1466
LYC-5 LYC-5,1,345.3447161,6162.01635,106.172,107.6113333,53.848,72.81333333,76.0425708,0.6766,0.5072,0.7227,0.7432,0.7249,1.0253,0.0751,0.1763,0.5802,0.1833,298.3,272.6,0.4009,177.1,169.5,0,0,0.1117,0,0.3285,0.312,0,0.4872,0.5914,0.8897,0.8881,0.507,0.5349,129.7563,50.6729,36.4972,78.2328,34.6335,36.2651,30.6144,40.1705,47.4594,3.0946,0.7712,0.1204
LYC-6 LYC-6,1,335.5480547,7233.175498,101.5153333,102.7006667,85.344,90.76266667,91.894533,0.8838,0.8407,0.9165,0.6255,0.613,1.0204,0.0312,0.0549,0.4775,0.0637,260.7,203.9,0.1124,161.5,148.8,0,0,0.1523,0,0.2376,0.2582,0,0.5616,0.7526,0.8916,0.8877,0.8413,0.399,147.244,69.0191,49.5965,92.6286,42.0147,34.0293,32.2516,43.4637,46.8845,2.3845,0.6369,0.1999
LYC-7 LYC-7,1,268.9125432,4855.502834,86.02133333,86.52933333,65.87066667,71.628,71.14508673,0.8278,0.7657,0.8287,0.7451,0.5413,1.3764,0.0384,0.0748,0.5178,0.0627,225.7,215.7,0.1496,164.1,142.3,0,0,0,0.1922,0.1,0,0.3102,0.4468,0.7361,0.8911,0.8886,0.766,0.4144,182.9478,134.8629,61.4681,115.0196,63.7951,10.7374,54.6435,78.883,55.6885,1.4688,0.6759,0.1902
LYC-8 LYC-8,1,372.9962483,8807.49493,104.902,105.8333333,88.73066667,105.2406667,102.8898459,0.9944,0.8458,0.9816,0.7264,0.6933,1.0477,0.0534,0.056,0.5591,0.0935,236.7,256.1,0.2877,165,144.166,0.057,0.046,0.085,0,0.2826,0.3417,0,0.4505,0.6747,0.8868,0.8896,0.8465,0.4697,132.1756,56.66,41.8917,81.8946,36.4226,34.2051,29.3992,40.679,45.1032,3.754,0.669,0.1779
LYC-9 LYC-9,1,303.200054,5417.817121,90.33933333,91.27066667,59.52066667,76.53866667,78.30475407,0.8386,0.6589,0.8684,0.3411,0.6935,0.4919,0.0678,0.1085,0.5389,0.1072,280.7,260.2,0.2313,144.166,170.2,0.0016,0.0029,0.141,0,0.434,0.3261,0,0.5277,0.6202,0.8889,0.8861,0.6573,0.5042,174.8479,168.7743,89.4968,124.7827,72.9855,-11.5826,50.184,102.9965,51.5033,1.9689,0.7884,0.1118
LYC-10 LYC-10,1,345.9043797,6837.570554,107.7806667,108.712,59.01266667,77.89333333,80.11547773,0.7165,0.5475,0.7481,0.8445,0.6504,1.2983,0.0687,0.153,0.5704,0.1604,284.6,262.3,0.3165,185.866,172.5,0.0201,0.0196,0,0.21,0.2676,0,0.4163,0.425,0.605,0.891,0.8854,0.5472,0.5349,149.8522,59.8006,43.6512,91.0577,40.3584,40.0055,34.2553,40.5723,52.6675,1.5195,0.8064,0.1
