Accession,Rep, Perimeter,  Area,  Width Mid-height,  Maximum Width,  Height Mid-width,  Maximum Height,  Curved Height,  Fruit Shape Index External I,  Fruit Shape Index External II,  Curved Fruit Shape Index,  Proximal Fruit Blockiness,  Distal Fruit Blockiness,  Fruit Shape Triangle,  Ellipsoid,  Circular,  Rectangular,  Shoulder Height,  Proximal Angle Micro,  Proximal Angle Macro,  Proximal Indentation Area,  Distal Angle Micro,  Distal Angle Macro,  Distal Indentation Area,  Distal End Protrusion,  Obovoid,  Ovoid,  V. Asymmetry,  H. Asymmetry.ob,  H. Asymmetry.ov,  Width Widest Pos,  Eccentricity,  Proximal Eccentricity,  Distal Eccentricity,  Fruit Shape Index Internal,  Eccentricity Area Index,  Average Red,  Average Green,  Average Blue,  Average Luminosity,  Average L Value,  Average a Value,  Average b Value,  Average Hue,  Average Chroma, Lobedness Degree,  Pericarp Area,  Pericarp Thickness
LYC-1,4,206.6662025,2934.667966,64.262,64.60066667,53.17066667,56.896,56.87958313,0.8807,0.8274,0.8914,0.7299,0.585,1.2477,0.0291,0.0514,0.525,0.0536,224.7,205.8,0.1324,169.8,148.2,0,0,0,0.1671,0.0511,0,0.1889,0.4598,0.7481,0.8901,0.8885,0.8284,0.4164,112.0672,51.0756,39.6644,71.3725,31.2643,28.7334,22.623,38.2148,36.5706,1.0048,0.6411,0.2003
LYC-2,4,325.7821611,6679.793092,101.9386667,102.5313333,68.58,81.11066667,83.39725933,0.7911,0.6728,0.8178,0.8189,0.6221,1.3164,0.0555,0.1052,0.5652,0.1013,245.9,248.1,0.2407,172.7,168.8,0,0,0,0.2016,0.1306,0,0.4377,0.4259,0.6771,0.8913,0.8889,0.6736,0.4746,141.6549,66.0091,49.3041,89.8593,40.4053,33.3117,30.0351,42.039,44.8529,.,.,.
LYC-3,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-5,4,260.3936118,3777.913591,87.884,88.05333333,42.418,53.848,56.96756873,0.6115,0.4827,0.6482,0.8237,0.6859,1.2008,0.0802,0.2015,0.6063,0.1431,195.6,249.5,0.4924,0,166.950,0.0437,0.0743,0,0.1793,0.0938,0,0.2633,0.4654,0.6299,0.8889,0.8889,0.4819,0.5052,149.7095,78.9711,55.2502,96.5746,45.0754,29.4236,32.8064,48.1114,44.0682,.,.,.
LYC-6,4,268.6484001,4687.610696,81.44933333,81.44933333,63.83866667,70.358,70.94925273,0.8638,0.7838,0.872,0.6933,0.711,0.9751,0.038,0.0631,0.5637,0.0628,241,212.9,0.114,170.3,169.3,0,0,0.118,0,0.1503,0.1136,0,0.5018,0.7253,0.8892,0.8879,0.7839,0.4447,136.6256,59.2256,44.1668,85.0679,37.7213,34.9394,29.6335,40.3027,45.8138,.,.,.
LYC-7,4,256.4889714,4459.001835,77.47,77.724,66.63266667,71.12,71.99486913,0.915,0.8601,0.9303,0.6962,0.6536,1.0652,0.0254,0.0387,0.5435,0.0417,237.6,198.1,0.0787,163.2,157.6,0,0,0,0.1369,0.0625,0,0.1096,0.4643,0.7485,0.8908,0.887,0.8603,0.4212,170.9443,124.1804,58.821,108.125,59.4042,11.4662,50.0777,77.1034,51.3736,2.057,0.6203,0.2119
LYC-8,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
LYC-9,4,338.4296423,6140.991302,106.8493333,109.0506667,57.74266667,75.946,78.8843736,0.6964,0.5404,0.7371,0.809,0.5674,1.426,0.0866,0.1743,0.5123,0.0904,232.5,230.1,0.3381,182.600,169.433,0.0298,0.0048,0,0.2269,0.543,0,0.4735,0.3913,0.6071,0.8718,0.8846,0.5397,0.4973,176.971,170.2621,101.0543,131.0369,73.6898,-10.1603,44.3303,102.909,45.4797,.,.,.
LYC-10,4,288.8894993,5156.068541,90.84733333,92.62533333,58.25066667,72.136,72.07159407,0.7788,0.6412,0.7889,0.8164,0.5219,1.5643,0.0625,0.1142,0.5223,0.1338,298.7,253.2,0.2694,208.7,157.8,0.0386,0.0065,0,0.2433,0.19,0,0.4587,0.4131,0.6463,0.89,0.8842,0.6425,0.4859,140.5725,69.423,53.2621,91.1994,40.8716,31.2333,27.8272,41.6993,41.8314,.,.,.
LYC-11,4,148.4909146,1474.83576,48.42933333,48.768,33.61266667,37.338,37.9840236,0.7656,0.6941,0.7857,0.7605,0.6346,1.1983,0.0451,0.0996,0.5537,0.0726,237.9,222.8,0.1882,180,170.1,0,0.0076,0,0.1393,0.0654,0,0.1314,0.4762,0.7182,0.8901,0.8852,0.693,0.4499,120.9955,57.8706,39.7084,75.6213,34.5734,28.5084,27.7536,44.2314,39.7868,.,.,.
LYC-12,4,148.9677911,1513.337475,39.28533333,39.37,43.34933333,45.974,46.52837193,1.1677,1.1034,1.1869,0.7716,0.6379,1.2095,0.0364,0.0576,0.5669,0.0479,249.4,183.3,0.0924,168.5,144.2,0,0,0,0.094,0.0704,0,0.1036,0.5322,0.7528,0.8889,0.887,1.1027,0.4384,126.3383,57.5742,42.2096,79.2939,35.3079,31.2749,27.1284,40.9389,41.4013,.,.,.
LYC-13,4,203.6246457,2652.553835,55.118,55.20266667,55.96466667,59.01266667,61.04060267,1.069,1.0154,1.1006,0.7281,0.6559,1.1101,0.0367,0.0435,0.5397,0.0376,239.7,195.5,0.0364,164.330,159.8,0.0146,0.045,0,0.1357,0.0951,0,0.1359,0.4692,0.7586,0.8904,0.8874,1.0154,0.4172,127.0599,57.1066,42.302,79.6918,35.421,31.8085,27.3794,40.7204,41.9691,1.3572,0.5143,0.2814
LYC-14,4,226.0590009,3384.889288,69.342,71.45866667,57.404,61.29866667,62.42069473,0.8578,0.8278,0.9167,0.812,0.464,1.75,0.0473,0.0674,0.5086,0.0518,238.1,204.9,0.1262,151.1,125.8,0,0,0,0.2873,0.1077,0,0.3785,0.3729,0.7497,0.89,0.8885,0.8287,0.4104,134.2899,57.1516,41.8116,82.8661,36.8973,34.8658,29.939,40.6525,45.9562,1.3868,0.5889,0.2314
