Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness,Brix....refractometer,Vit..C,TP..Conc...mg.GAE.100g.FW,FRAP.Conc...uM.Fe2..gFW,fruit.wall.thickness.pericarp..mm.,fruit.weigth..g.,productivity..kg..per.plant,fruits.number.per.plant
CPSBB_CAP001,45.464,142.739,12.686,13.003,12.749,13.702,15.014,1.058,1.009,1.177,0.781,0.571,1.374,0.054,0.062,0.52,0.027,176.267,169.475,0.088,93.225,129.167,0.013,0.017,0,0.224,0.034,0,0.067,0.38,0.743,0.893,0.883,1.01,0.433,175.289,166.988,119.112,138.834,72.89,-6.606,31.87,101.853,32.589,1.587,0.566,0.244,3.7,29.3,83.1,5.61,0.73,1.28,0.299,234.51
CPSBB_CAP002,90.135,523.931,29.909,30.614,19.622,21.872,23.253,0.715,0.657,0.793,0.761,0.555,1.368,0.058,0.132,0.527,0.052,177.467,218.742,0.199,155.058,154.808,0.004,0.008,0,0.237,0.066,0,0.13,0.391,0.718,0.891,0.886,0.656,0.441,149.131,154.015,104.715,122.983,66.104,-12.572,30.939,112.09,33.406,1.575,0.583,0.233,3.83,42.77,67.63,3.4,2.24,10.58,0.393,37.13
CPSBB_CAP003,70.42,285.177,12.291,14.196,24.906,26.303,27.478,1.843,2.024,2.19,1.022,0.458,2.351,0.082,0.215,0.451,0.02,197.908,94.475,0.064,84.075,66.375,0,0.033,0,0.438,0.052,0,0.28,0.246,0.753,0.885,0.878,2.039,0.453,173.337,171.484,118.938,138.534,73.992,-10.215,33.587,107.037,35.174,3.525,0.547,0.252,4.2,70.17,93.26,6.83,0.92,1.46,0.311,213.14
CPSBB_CAP004,99.198,632.344,31.404,32.456,22.401,25.308,26.675,0.782,0.719,0.854,0.801,0.493,1.712,0.066,0.118,0.505,0.061,215.675,222.358,0.173,138.025,141.133,0.017,0.064,0.005,0.254,0.075,0.007,0.164,0.378,0.706,0.89,0.887,0.719,0.442,168.072,163.834,119.59,135.848,71.164,-7.839,28.995,105.197,30.044,2.562,0.63,0.204,4.12,66,87.06,4.03,2.63,9.95,0.551,55.33
CPSBB_CAP006,128.042,742.732,16.715,22.176,45.671,48.944,49.738,2.213,2.754,2.944,1.283,0.476,2.724,0.106,0.289,0.406,0.033,234.092,134.758,0.138,63.85,42.883,0,0,0,0.575,0.102,0,0.74,0.169,0.746,0.883,0.889,2.766,0.488,160.037,161.708,110.123,129.187,69.669,-11.504,32.654,109.394,34.634,1.321,0.612,0.215,5.17,61.57,108.24,4.8,1.52,9.51,0.509,53.52
CPSBB_CAP007,141.7,1023.135,22.726,26.402,48.627,53.142,53.65,2.03,2.153,2.379,1.061,0.469,2.284,0.09,0.239,0.457,0.045,249.558,149.858,0.188,85.058,58.758,0,0.021,0,0.447,0.095,0,0.59,0.22,0.731,0.885,0.881,2.16,0.462,168.474,167.159,122.354,137.603,72.234,-9.241,28.866,107.808,30.314,1.987,0.608,0.217,4.98,53.07,91.25,4.31,1.99,9.13,0.709,77.67
CPSBB_CAP008,181.392,1659.665,29.958,30.995,72.249,74.267,75.335,2.412,2.428,2.525,0.638,0.398,1.628,0.059,0.263,0.414,0.019,130.492,74,0.004,64.567,53.808,0,0.061,0,0.234,0.085,0,0.391,0.401,0.778,0.89,0.888,2.438,0.349,120.373,128.345,80.919,98.943,55.311,-13.307,29.554,114.3,32.418,6.647,0.512,0.28,4.6,45.78,67.03,2.81,2.7,16.41,0.53,32.3
CPSBB_CAP009,213.652,1735.314,23.904,27.813,82.614,88.829,89.336,3.203,3.46,3.751,0.92,0.405,2.301,0.085,0.346,0.422,0.024,196.975,88.733,0.089,36.292,28.992,0.002,0.237,0,0.365,0.173,0,0.926,0.342,0.746,0.893,0.896,3.472,0.424,117.885,125.063,79.194,96.387,53.984,-12.633,28.639,113.761,31.31,2.397,0.62,0.237,3.67,18.17,64.26,3.82,1.77,8.4,0.241,28.74
CPSBB_CAP010,486.081,2754.021,14.337,42.679,175.338,201.704,215.355,5.172,12.409,15.511,1.325,0.575,2.487,0.21,0.461,0.214,0.044,97.417,145.425,0.035,69.3,9.275,0.003,0.272,0,0.604,0.962,0,3.05,0.059,0.699,1.055,1.102,12.505,0.54,121.357,123.535,89.573,100.655,54.071,-8.44,21.723,111.229,23.313,4.399,0.553,0.248,4.56,20,56.79,2.85,2.1,17.7,0.956,54.01
CPSBB_CAP011,143.186,974.33,20.56,23.566,51.308,56.113,56.476,2.394,2.515,2.768,1.041,0.473,2.252,0.085,0.281,0.448,0.037,248.65,130.433,0.151,72.933,48.967,0,0.053,0,0.438,0.127,0,0.592,0.221,0.731,0.881,0.879,2.526,0.459,173.178,168.007,111.491,134.236,72.77,-9.179,36.625,104.175,37.775,1.369,0.562,0.249,4.83,67.32,105.48,5.95,2.53,10,0.532,53.23
CPSBB_CAP012,133.841,780.664,16.341,21.597,48.57,53.065,53.66,2.475,2.98,3.323,1.227,0.452,2.749,0.103,0.313,0.394,0.026,230.692,126.808,0.107,47.442,37.042,0,0.02,0,0.545,0.117,0,0.773,0.191,0.734,0.885,0.879,2.994,0.492,183.176,171.84,118.492,142.012,74.957,-6.098,35.594,99.782,36.129,1.343,0.569,0.242,5.23,139.43,163.87,8.38,2.06,8.36,0.494,59.14
CPSBB_CAP013,145.581,869.517,17.484,19.558,54.998,60.706,61.352,3.112,3.165,3.551,0.956,0.446,2.151,0.084,0.337,0.425,0.019,172.858,90.317,0.066,46.983,36.683,0,0,0,0.389,0.132,0,0.655,0.293,0.726,0.887,0.884,3.18,0.448,147.09,152.535,94.815,116.957,65.447,-13.88,35.965,111.11,38.566,1.212,0.527,0.273,6.23,159.22,141.21,6.89,2.24,8.58,0.459,53.42
CPSBB_CAP014,372.94,2350.129,16.63,36.061,132.165,160.436,168.58,4.977,7.958,10.487,1.072,0.576,1.942,0.172,0.453,0.286,0.055,43.1,13.392,0.006,17.058,15.7,0.001,0.124,0,0.533,0.783,0,2.957,0.15,0.658,0.876,0.882,8.015,0.535,136.443,138.645,84.788,105.671,60.156,-11.628,34.223,108.762,36.148,3.217,0.553,0.25,5.07,108.13,172.57,12.65,2.26,16.4,0.737,44.92
