Taxa,Cultivation type ,Plant growth habit ,Plant height,Nodal anthocyanin (whole plant),Number of flowers per axil ,Pedicel position at anthesis,Corolla colour,Corolla spot ,Calyx margin shape ,Annular constriction at junction of calyx and peduncle ,Fruit position ,Fruti colour at immature stage ,Fruit colour at mature stage ,Fruit shape ,Fruit shape at peduncle attachment ,Fruit shape at blossom end ,Fruit pungency,Fruit size,Fruit cros-sectional corrugation (at 1/3 from pedicel end),Fruit wall thickness,Seed colour,Fruit set ,Flowering earliness,Maturity earliness,Fruit yield per plant ,"Brix %, refractometer",Vit. C,"TP, Conc,  mg GAE/100g FW","FRAP Conc,  uM Fe2+/gFW",TMV,PMMoV,TSWV,fruit wall thickness/pericarp (mm),fruit weigth (g),productivity (kg) per plant,fruits number per plant
CPSBB_CAP001,2,3,5,7,1,7,1,0,5,0,7,1.8,5,3,5,5,7,1,0,1,1,7,5,5,3,3.7,29.3,83.1,5.61,0,0,0,0.73,1.28,0.299,234.51
CPSBB_CAP002,2,5,5,7,1,7,1,0,5,0,7,1,5,3,5,5,3,3,0,5,1,3,3,5,3,3.83,42.77,67.63,3.4,0,0,0,2.24,10.58,0.393,37.13
CPSBB_CAP003,2,3,3,7,1,7,1,0,5,0,7,1.8,5,4,3,5,7,1,0,1,1,7,3,3,3,4.2,70.17,93.26,6.83,1,0,0,0.92,1.46,0.311,213.14
CPSBB_CAP004,2,5,3,7,1,7,1,0,5,0,3,1.8,5,7,5,7.9,5,3,7,5,1,3,3,3,5,4.12,66,87.06,4.03,0,0,0,2.63,9.95,0.551,55.33
CPSBB_CAP006,2,7,3,3,1,5,1,0,5,0,3,1.8,5,4,3.5,3,5,3,3,3,1,5,3,5,5,5.17,61.57,108.24,4.8,0,0,0,1.52,9.51,0.509,53.52
CPSBB_CAP007,2,7,5,7,1,7,1,0,5,0,3,1.8,5,4,5,3,5,5,0,5,1,5,3,5,5,4.98,53.07,91.25,4.31,0,0,0,1.99,9.13,0.709,77.67
CPSBB_CAP008,2,7,5,7,1,7,1,0,5,0,3,1,5,1,1,3,3,5,0,5,1,3,3,3,5,4.6,45.78,67.03,2.81,0,0,0,2.7,16.41,0.53,32.3
CPSBB_CAP009,2,7,3,5,1,3,1,0,7,0,3,1,5,1,3,3,3,5,3,3,1,3,3,3,1,3.67,18.17,64.26,3.82,0,0,0,1.77,8.4,0.241,28.74
CPSBB_CAP010,2,7,5,5,1,7,1,0,7,0,3,1.8,5,1,3,3,3,5,3,5,1,5,3,3,7,4.56,20,56.79,2.85,0,0,0,2.1,17.7,0.956,54.01
CPSBB_CAP011,2,7,5,5,1,7,1,0,5,0,7,1.8,5,4,3.5,3,0,5,0,5,1,5,3,5,5,4.83,67.32,105.48,5.95,0,0,0,2.53,10,0.532,53.23
CPSBB_CAP012,2,5,3,3,1,7,1,0,5,0,7,1.8,5,4,5,3,0,3,0,5,1,5,3,5,5,5.23,139.43,163.87,8.38,0,0,0,2.06,8.36,0.494,59.14
CPSBB_CAP013,2,5,3,7,1,5,1,0,7,0,3,1,9,1,3,3,0,7,0,5,1,5,3,5,3,6.23,159.22,141.21,6.89,0,0,0,2.24,8.58,0.459,53.42
CPSBB_CAP014,2,7,3,3,1,7,1,0,5,0,3,1,5,1,3,3,0,5,3,5,1,3,3,5.7,5,5.07,108.13,172.57,12.65,0,0,0,2.26,16.4,0.737,44.92
CPSBB_CAP015,2,5,3,7,1,7,1,0,5,0,3,1,5,4,3.5,3.5,0,7,3,5,1,1,3,5,5,3.43,38.37,73.93,4.58,0,0,0,2.47,53.94,0.522,9.68
CPSBB_CAP016,2,5,3,5,1,5,1,0,7,0,3,1.8,5,4,3.5,3,0,5,3,5,1,1,3,3,5,3.97,139.37,70.56,4.53,0,0,0,3.67,63.21,0.83,13.13
CPSBB_CAP017,2,5,3,5,1,7,1,0,5,0,3,1,5,4,5,3,0,5,3,5,1,1,5,3,5,3.83,26.77,87.52,5.76,0,0,0,2.85,47.89,0.81,16.91
CPSBB_CAP018,2,5,3,5,1,7,1,0,5,0,3,1,5,4,5,3,0,7,3,5,1,1,5,7,5,3.9,13.5,59.92,2.61,0,0,0,3.14,65.08,0.561,8.62
CPSBB_CAP019,2,5,3,3,1,7,1,0,5,0,3,1.8,5,4,5,3,0,5,3,5,1,1,5,3,7,3.47,62.27,86.41,6.28,0,0,0,2.49,38.28,0.625,16.32
CPSBB_CAP020,2,5,3,3,1,5,1,0,5,0,3,1,5,4,5,3,0,7,3,7,1,1,5,3,5,4.43,18.37,62.37,3.22,0,0,0,3.77,50.67,0.611,12.06
CPSBB_CAP021,2,7,3,0,1,7,1,0,5,0,3,1,5,4,5,3,0,7,0,5,1,1,5,3,5,4.67,24.13,70.62,3.05,0,0,0,2.99,44.98,0.413,9.17
CPSBB_CAP022,2,5,3,3,1,7,1,0,5,0,3,1,5,4,5,3,0,7,0,5,1,1,5,3,5,4.3,23.23,60.31,3.27,0,0,0,3.9,56.63,0.654,11.54
CPSBB_CAP023,2,5,3,3,1,7,1,0,5,0,3,1.8,5,4,5,3,0,7,0.3,5,1,1,5,3,7,3.23,24.6,105.18,4.46,0,0,0,3.85,65.9,0.828,12.57
CPSBB_CAP024,2,5,3,3,1,7,1,0,7,0,3,1.8,5,4,5,3,0,7,0.3,5,1,1,5,3,7,3.8,103.77,84.8,5.61,0,0,0,3.76,57.32,0.76,13.25
CPSBB_CAP025,2,5,3,3,1,7,1,0,5,0,3,1.8,5,4,5,3,0,7,3,7,1,1,5,3,7,3.33,71.17,56.61,3.49,0,0,0,4.49,68.13,0.917,13.46
CPSBB_CAP026,2,5,3,7,1,7,1,0,7,0,3,1.8,5,4,5,3,0,7,0,7,1,1,5,3,7,4.27,41.6,48.88,2.18,0,0,0,4.53,78.38,0.726,9.27
CPSBB_CAP028,2,5,3,5,1,3,1,0,5,0,3,1,5,4,5,3,0,7,0.3,7,1,1,5,3,5,4.5,29,64.85,3.41,0,0,0,4.22,60.89,0.553,9.08
CPSBB_CAP029,2,5,3,3,1,7,1,0,5,0,7,1,5,6,9,7,0,7,7,5,1,1,5,3,5,4.57,36.4,84.29,3.97,0,0,0,4.36,69.76,0.685,9.82
CPSBB_CAP030,2,5,3,3,1,7,1,0,7,0,7,2,5,6,9,7,0,7,3,7,1,1,5,3.5,7,5.9,25.9,85.43,3.73,0,0,0,4.76,78.83,0.863,10.94
CPSBB_CAP031,2,7,3,3,1,7,1,0,7,0,3,1,5,4,7,3.5,0,7,0,7,1,1,5,3,5,4.37,83.63,83.01,4.06,0,0,0,3.94,55.66,0.618,11.11
CPSBB_CAP032,2,7,3,3,1,7,1,0,5,0,3,1.8,5,4,7.9,3.5,0,7,0,7,1,1,5,3,5,4.1,54.03,76.4,3.84,1,0,0,4.14,65.99,0.708,10.72
CPSBB_CAP033,2,5,3,5,1,7,1,0,5,0,7,1,5,7,5,5,0,7,0,7,1,1,5,7,5,9.27,230.93,127.55,8.93,0,0,0,5.85,91.79,0.594,6.47
CPSBB_CAP033A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPSBB_CAP034,2,5,3,5,1,7,1,0,5,0,3.7,1,5,7,5,7,0,7,7,7,1,1,5,5,3,9.07,218.67,125.02,8.18,0,0,0,5.24,105.12,0.393,3.74
CPSBB_CAP035,2,5,3,5,1,7,1,0,5,0,7,1,5,7,5,5,0,5,0.3,7,1,1,5,5,5,8.2,181.83,134.92,7.21,0,0,0,4.22,30.06,0.505,16.81
CPSBB_CAP036,2,7,3,5,1,7,1,0,5,0,3,1,5,7,3.5,7,0,7,5,7,1,1,5,5,5,9.6,236.27,164.8,8.49,0,0,0,5.07,71,0.434,6.11
CPSBB_CAP037,2,5,3,5,1,7,1,0,5,0,3.5,1,5,7,3,5.7,0,7,0,7,1,1,5,7,3,8.97,181.33,146.44,9.61,0,0,0,4.94,77.63,0.478,6.16
CPSBB_CAP038,2,5,3,3,1,7,1,0,5,0,3,1,5,7,7,7,0,7,7,9,1,1,3,7,5,7.57,150.9,120.08,7.57,0,0,0,5.36,93.22,0.679,7.28
CPSBB_CAP039,2,5,3,5,1,5,1,0,5,0,3,1,5,4,5,3,0,7,3,5,1,1,5,5,5,7.13,135.17,112.78,5.62,0,0,0,3.58,59.01,0.584,9.9
CPSBB_CAP040,2,5,3,5,1,7,1,0,5,0,3,1,5,4,5,3,0,7,3,7,1,1,5,5,3,8.23,131.53,154.22,8.52,0,0,0,3.68,63.98,0.448,7.01
CPSBB_CAP041,2,5,3,7,1,5,1,0,5,0,3,1,5,4,5,3,0,7,3,5,1,1,5,5,5,8.23,146.17,104.4,6.24,0,0,nt,3.74,69.53,0.665,9.56
CPSBB_CAP042,2,5,3,5,1,3,1,0,5,0,3,1,5,4,5,3,0,7,3,5,1,1,5,5,7,6.53,134.7,89.51,4.76,0,0,nt,3.88,75.42,0.867,11.5
CPSBB_CAP043,2,5,3,5,1,7,1,0,5,0,3,1,5,4,5,3,0,7,0.3,7,1,1,5,5,5,8.07,114.13,93.6,5.13,0,0,0,4.5,84.48,0.982,11.62
CPSBB_CAP044,2,7,3,7,1,7,1,0,5,0,3,1,5,4,5,3,0,7,3,7,1,1,5,5,5,7.73,168.5,119.84,6.04,0,0,0,3.88,112.49,0.621,5.52
CPSBB_CAP045,2,5,3,5,1,5,1,0,5,0,3,1,5,4,5,3,0,7,3,7,1,1,5,5,5,7.8,160.4,98.07,4.93,1,0,0,4.31,126.01,0.676,5.37
CPSBB_CAP047,2,5,3,5,1,7,1,0,5,0,3,1,5,4,5,3,0,7,0.3,5,1,1,5,5,5,8.67,151.87,153.57,7.98,0,0,0,3.56,68.05,0.518,7.6
CPSBB_CAP048,2,5,3,5,1,7,1,0,5,0,3,1,5,4,5,3,0,7,3,7,1,1,5,5,5,8.63,150.33,105.42,5.96,1,0,0,4.92,136.93,0.613,4.48
CPSBB_CAP049,2,5,3,7,1,3,1,0,5,0,3,1,5,4,3,3,0,7,0.3,5,1,1,5,5,3,6.63,131.37,147.58,11.04,0,0,0,3.32,48.48,0.533,11
CPSBB_CAP050,2,5,3,5,1,7,1,0,5,0,3,1,5,4,3.5,3,0,7,3,5,1,1,5,5.7,5,8.37,135.67,104.24,5.6,0,0,0,3.35,70.53,0.556,7.88
CPSBB_CAP051,2,5,1,5,1,7,1,0,5,0,3,1,3,4,5.7,3,0,7,5,5,1,1,5,5,5,8.4,227.73,137.51,4.72,0,0,0,4.13,113.28,0.599,5.29
CPSBB_CAP052,2,5,3,7,1,7,1,0,5,0,3,1,5,4,5.7,3,0,7,3,7,1,1,5,5,5,9.43,156.63,145.49,7.34,0.5,0,0,3.86,79.51,0.822,10.34
CPSBB_CAP053,2,5,3,7,1,5,1,0,5,0,3,1,5,4,7.9,3,0,7,3.5,5,1,1,5,3,5,9,166.6,176.68,8.54,0,0,0,3.84,95.24,0.834,8.76
CPSBB_CAP054,2,5,3,3,1,7,1,0,5,0,3,1,5,4,5,3,0,7,3.5,5,1,1,5,5,5,8.77,167.07,134.14,7.03,0,0,0,4,84.69,0.735,8.67
CPSBB_CAP055,2,5,3,7,1,7,1,0,5,0,3,1,5,4,5,3,0,7,3.5,7,1,1,5,5,5,9.33,153.3,146.11,6.64,0,0,0,5.08,132.19,0.653,4.94
CPSBB_CAP056,2,5,3,5,1,7,1,0,5,0,5.7,1,3,4,5,3,0,7,3.5,5,1,1,5,3,3,10.07,231.47,160.97,6.55,0,0,0,4.1,91.93,0.666,7.24
CPSBB_CAP057,2,5,3,3,1,7,1,0,5,0,3,1,5,4,5,3,0,7,0.3,7,1,1,5,3,5,8.07,169.9,98.6,5.35,1,0,0,3.84,96.67,0.622,6.43
CPSBB_CAP058,2,5,3,7,1,7,1,0,5,0,3,1,5,4.6,5.7,7,0,7,5,5,1,1,3,3,3,11.33,260.8,171.87,9.71,0,0,0,3.42,61.14,0.391,6.39
CPSBB_CAP059,2,7,3,5,1,7,1,0,5,0,3,1,5,4,5.7,3.5,0,7,3,7,1,1,5,5,5,7.8,150.9,130.03,4.59,0,0,0,4.17,105.15,0.56,5.33
CPSBB_CAP060,2,5,3,5,1,7,1,0,5,0,3,1,5,4,5.7,3,0,7,3,7,1,1,5,5,5,8.87,152.8,152.18,6.57,0,0,0,4.68,118.01,0.597,5.06
CPSBB_CAP061,2,5,3,5,1,7,1,0,5,0,3,1,5,4,5.7,3,0,7,3,7,1,1,5,5,5,8.67,143.77,88.14,3.55,0.5,0,0,3.55,82.61,0.763,9.23
CPSBB_CAP062,2,7,1,5,"2,4",7,1,0,5,0,7,1,5,4,3,3,0,3,0.3,3,1,1,5,3,1,11.57,249.6,227.81,14.99,0,0,0,1.08,9.81,0.105,10.67
CPSBB_CAP063,2,7,1,5,"2,3",7,1,0,5,0,7,1,5,4,3,3,0,5,0.3,3,1,1,5,3,1,10.43,225.07,203.35,10.87,0,0,0,1.58,18.15,0.22,12.14
CPSBB_CAP064,2,5,3,5,1,7,1,0,7,0,7,1,5,4,3.5,3,0,5,3,3,1,1,5,7,1,13.3,168.5,295.84,10.37,0,0,0,1.18,12.18,0.132,10.85
CPSBB_CAP065,2,5,3,5,1,7,1,0,7,0,3,1,5,1,3,3,0,3,0.3,3,1,1,5,3.5,3,12.37,166.1,220.63,8.92,0,0,0,1.28,9.73,0.191,19.66
CPSBB_CAP066,2,5,3,7,1,7,1,0,7,0,3,1,5,1,3,3,0,5,3,5,1,1,5,3.5,3,12.43,152.8,192.49,8.73,0,0,0,1.5,21.28,0.207,9.71
CPSBB_CAP067,2,5,3,7,1,3,1,0,7,0,3,1,7,1.6,3,3.7,0,5,0.3,5,1,1,5,5.7,3,10.73,156.6,212.61,9.09,0,0,0,1.79,17.72,0.238,13.42
CPSBB_CAP068,2,7,3,5.7,1,5,1,0,5,0,7,1,5,3,3.5,5,3,5,0,5,1,3,5,3.5,3,4.43,9.27,91.43,2.63,0,0,0,2.92,16.65,0.678,40.71
CPSBB_CAP069,2,7,3,5.7,1,3,1,0,7,0,3,1,5,1,3,3,3,7,0.3,5,1,1,5,3.5,3,5.6,15.17,150.8,5.84,0,0,0,2.06,30.28,0.678,22.38
CPSBB_CAP070,2,7,3,3.5,1,3,1,0,7,0,3,1,5,1,3,3,5,5,3,5,1,3,7,3,7,4.03,13.17,52.83,1.58,0,0,0,2.41,29.97,1.259,42.02
CPSBB_CAP071,2,7,5,7,1,3,1,0,5,0,3,1,5,1,3,3,5,7,0,3,1,1,7,3,5,4.37,11.83,62.33,2.11,0,0,0,2.23,42.91,0.79,18.4
CPSBB_CAP071A,2,7,5,5,1,5,1,0,5,0,3,2,5,1,1,3,5,5,0,5,1,1,7,3,5,4.4,28.37,69.81,3.1,nt,nt,nt,2.39,46.84,0.849,18.13
CPSBB_CAP072,2,7,5,7,1,7,1,0,5,0,3,1,5,1,3,3,3,5,5,3,1,1,5,3,5,4.63,46.37,87.08,2.98,0,0,0,1.87,10.76,0.515,47.9
CPSBB_CAP073,2,7,5,5,1,3,1,0,7,0,3,1,5,1,3,3,0.3,5,5,5,1,1,5,3,5,5.2,82.67,201.02,11.92,0,0,0,2.15,22.13,0.758,34.27
CPSBB_CAP074,2,7,5,5,1,3,1,0,7,0,3,1,3,1,1,3,0.3,5,3,5,1,3,5,3,7,4.43,17.4,73.79,2.78,0,0,0,2.22,24.82,0.969,39.04
CPSBB_CAP075,2,7,5,7,1,7,1,0,7,0,7,1,5,4,3,3,5,5,0,5,1,3,3,3,7,4.77,81.93,106.5,4.45,0,0,0,2.18,14.64,0.693,47.32
CPSBB_CAP076,2,7,3,7,1,3,1,0,5,0,3,1,4,4,3,3,0,5,0,5,1,1,5,3,3,8.1,132.3,128.69,4.49,0,0,0,2.5,18.87,0.627,33.21
CPSBB_CAP077,2,7,3,7,1,5,1,0,5,0,3,1,3,1,3,5,0,5,3,5,1,3,5,3,7,5.37,12.23,85.14,2.5,0,0,0,2.78,25.4,0.851,33.5
CPSBB_CAP078,2,7,3,7,1,5,1,0,7,0,3,1,2,1,3,5,0,5,0,5,1,1,5,3,5,5.9,32.27,94.13,3.17,0,0,0,2.76,28.03,0.707,25.22
CPSBB_CAP079,2,7,3,7,1,3,1,0,7,0,3,1,5,4,5,3,0,7,0,5,1,1,7,3,5,4.6,7.1,66.2,2.81,0,0,0,3,82.63,0.481,5.82
