"Trait","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%"
"Perimeter","0.700074253552499","0.74631088966712","0.776193418879799","0.779469486470445","0.779102857126247","0.777276294605391","0.781551789787772","0.778256348807006","0.704391920632838","0.742993295587636","0.769669512966477","0.771837013397734","0.768896915071014","0.76648632913576","0.77228192743373","0.772220041975735","0.648666666666667","0.694","0.702666666666667","0.698","0.7","0.709333333333333","0.71","0.699333333333333","0.381333333333333","0.470666666666667","0.5","0.490666666666667","0.5","0.52","0.530666666666667","0.502666666666667"
"Area","0.768958155944011","0.800947367988533","0.812175536763642","0.811382779227319","0.815130478523197","0.813665586456874","0.816990260334346","0.815533251901515","0.751083221498381","0.773084112250291","0.784638678051866","0.782990627335978","0.786757302627796","0.782447099074234","0.787276321085619","0.788474138922431","0.71","0.706666666666667","0.712","0.715333333333333","0.723333333333333","0.719333333333333","0.726666666666667","0.722","0.538666666666667","0.584","0.590666666666667","0.582666666666667","0.6","0.6","0.604","0.594666666666667"
"Width.Mid.height","0.801212331378082","0.846499704668128","0.870206098782447","0.878768976396456","0.885366211882171","0.887270025118539","0.888924938193942","0.88251068181138","0.794715227028474","0.836120963183317","0.865697415329768","0.876115591397849","0.881401227646484","0.884632281064919","0.884582255189466","0.878825182565695","0.696","0.777333333333333","0.780666666666667","0.799333333333333","0.800666666666667","0.806666666666667","0.806666666666667","0.796","0.554666666666667","0.638666666666667","0.654666666666667","0.661333333333333","0.652","0.646666666666667","0.653333333333333","0.661333333333333"
"Maximum.Width","0.774960761545449","0.826099297186903","0.855197962006038","0.859893370468605","0.864975297973946","0.865578937671524","0.867470946812468","0.862266265514784","0.766086881599802","0.813144094607267","0.844186821028515","0.850686770857906","0.857526236841139","0.857079272680339","0.859642935446439","0.852880484923771","0.675333333333333","0.742666666666667","0.765333333333333","0.772","0.78","0.783333333333333","0.786","0.774666666666667","0.514666666666667","0.593333333333333","0.649333333333333","0.653333333333333","0.642666666666667","0.644","0.642666666666667","0.650666666666667"
"Height.Mid.width","0.714598617738812","0.785934263753462","0.799401696353781","0.807504243160445","0.804793675666224","0.803873376101366","0.809882272607441","0.806922640351845","0.719739952860424","0.788837914722351","0.80421427437153","0.813516671173548","0.808484306537552","0.808003014446124","0.814135420580186","0.811887171629596","0.646","0.698666666666667","0.716666666666667","0.718","0.714","0.722666666666667","0.735333333333333","0.724","0.422666666666667","0.516","0.498666666666667","0.532","0.537333333333333","0.564","0.565333333333333","0.54"
"Maximum.Height","0.716026856753727","0.781569911846759","0.796613502493783","0.804797899605271","0.802837517739759","0.802266697725543","0.808669310674014","0.804029769040378","0.725109573306387","0.781211059127515","0.798437447078137","0.805004263976734","0.800896297314738","0.799805607765484","0.807884811209301","0.802981875290967","0.661333333333333","0.703333333333333","0.718","0.715333333333333","0.722","0.728666666666667","0.738","0.721333333333333","0.486666666666667","0.556","0.550666666666667","0.564","0.576","0.601333333333333","0.598666666666667","0.568"
"Curved.Height","0.70889510788356","0.771153258155032","0.792218003853513","0.798961431130825","0.796511055839637","0.794892135309603","0.800837825064472","0.797315387134555","0.718416381186454","0.771311020201305","0.79252728554407","0.79743898541037","0.794069715382597","0.792880135852139","0.801006270898199","0.796585211091375","0.660666666666667","0.702","0.716666666666667","0.716","0.710666666666667","0.719333333333333","0.735333333333333","0.717333333333333","0.501333333333333","0.56","0.578666666666667","0.586666666666667","0.592","0.601333333333333","0.612","0.590666666666667"
"Fruit.Shape.Index.External.I","0.711648230503481","0.751704226932308","0.809377191847504","0.835457373810556","0.837580320284022","0.843441288766416","0.84809691241336","0.834333338441019","0.694559702141846","0.736118066388588","0.807279289726267","0.835422222491561","0.838094458146447","0.841914285314643","0.848725314428168","0.834374500662497","0.669333333333333","0.686666666666667","0.754666666666667","0.776666666666667","0.776","0.780666666666667","0.788666666666667","0.773333333333333","0.564","0.572","0.6","0.642666666666667","0.637333333333333","0.658666666666667","0.657333333333333","0.636"
"Fruit.Shape.Index.External.II","0.724615910821246","0.750365630170883","0.814544649930201","0.833941404993668","0.840182657770052","0.844279685382746","0.846146332936807","0.837516667385921","0.670530603168758","0.709402260702464","0.796061329078979","0.821168447894868","0.828857427098839","0.831476515765045","0.83833619872452","0.827320075878306","0.664666666666667","0.667333333333333","0.75","0.759333333333333","0.754666666666667","0.773333333333333","0.778666666666667","0.768","0.621333333333333","0.624","0.68","0.702666666666667","0.701333333333333","0.708","0.706666666666667","0.698666666666667"
"Curved.Fruit.Shape.Index","0.721671889762373","0.73608082270345","0.811880405677046","0.826812726970348","0.832697189272214","0.8346128319513","0.836141335811202","0.829657089439598","0.630609278909707","0.663361903261153","0.755610011841684","0.785775588276165","0.794627130429308","0.798013247162551","0.803984227311393","0.791816186246463","0.648","0.664","0.738","0.747333333333333","0.748666666666667","0.767333333333333","0.769333333333333","0.756666666666667","0.644","0.629333333333333","0.7","0.7","0.701333333333333","0.702666666666667","0.706666666666667","0.7"
