"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Perimeter","0.818995538580468","0.811336754643206","0.725333333333333","0.52","0.0549015923902182","0.066625550294998","0.099789487594896","0.185371022836318"
"Area","0.839911580344653","0.814172057386004","0.726","0.597333333333333","0.060024077462496","0.0801611339540079","0.113178602099312","0.158832428968929"
"Width.Mid.height","0.886814431323657","0.884652550169628","0.795333333333333","0.66","0.0470784758179604","0.0455359816994761","0.0914731534801674","0.176087226707095"
"Maximum.Width","0.869545443018994","0.858504083409587","0.776666666666667","0.654666666666667","0.0493057778517799","0.0560935780909489","0.0951273725183091","0.171682032717294"
"Height.Mid.width","0.833437750022301","0.840664208498649","0.74","0.554666666666667","0.0487193561434951","0.0569535826600892","0.111126024353392","0.181191680426913"
"Maximum.Height","0.833239057500551","0.834749367488931","0.746666666666667","0.593333333333333","0.0486176424842645","0.0572099971348372","0.0980800020437136","0.181591275943756"
"Curved.Height","0.827443175861213","0.829790517099019","0.744","0.613333333333333","0.0499256027590595","0.0583885595753926","0.100655569265496","0.166554772282341"
"Fruit.Shape.Index.External.I","0.836166524378856","0.83696098124379","0.788","0.641333333333333","0.0569279865292172","0.0670350594500681","0.0933493115118239","0.17074124489102"
"Fruit.Shape.Index.External.II","0.840064004111276","0.830184067289506","0.775333333333333","0.697333333333333","0.0575842879395428","0.0748332560809912","0.0911792001085691","0.149696187479379"
"Curved.Fruit.Shape.Index","0.832419857172994","0.795773208675863","0.761333333333333","0.7","0.0647375505459963","0.0867309296660743","0.102836722521099","0.16011740658847"
"Proximal.Fruit.Blockiness","0.692315303326261","0.577465631892277","0.557333333333333","0.513333333333333","0.0951803827422416","0.127557857996253","0.116057534139","0.157866083196213"
"Distal.Fruit.Blockiness","0.559187417217181","0.594314311303371","0.629333333333333","0.372","0.119861558110409","0.1109111034338","0.110851897488197","0.165525399012118"
"Fruit.Shape.Triangle","0.602263900198974","0.595693965060695","0.598","0.316","0.130033754553097","0.120681823380242","0.117278993925201","0.176878223759366"
"Ellipsoid","0.709761895563926","0.659304433018038","0.626666666666667","0.542666666666667","0.113564623293434","0.110543122878633","0.104056429364888","0.182946306960335"
"Circular","0.817899653272837","0.78646005796822","0.764","0.678666666666667","0.0639877955876815","0.0821165394007321","0.0991778282215247","0.158680239300674"
"Rectangular","0.772281285342234","0.756117528085825","0.730666666666667","0.556","0.0714749614103363","0.0781555511595982","0.0926468844060965","0.158635118026057"
"Shoulder.Height","0.719209674256266","0.641114159482155","0.673333333333333","0.630666666666667","0.101290765757021","0.107269903986317","0.110924526410006","0.146065475190086"
"Proximal.Angle.Micro","0.514543979489332","0.479375035938129","0.526666666666667","0.424","0.113798649120128","0.125118097026722","0.106605127662078","0.183800300150926"
"Proximal.Angle.Macro","0.706384323661087","0.686986084756483","0.668","0.621333333333333","0.0896952839080405","0.0974752421393159","0.10187503860089","0.175164990934881"
"Proximal.Indentation.Area","0.682245975938417","0.66617019857516","0.652666666666667","0.606666666666667","0.102336736476142","0.0986593883727103","0.112146037739907","0.175578303022241"
"Distal.Angle.Micro","0.754360711908891","0.741120407107124","0.728","0.602666666666667","0.0759004080627886","0.0763803368113776","0.106260412044116","0.165455104178993"
"Distal.Angle.Macro","0.742088111530121","0.75685972629521","0.739333333333333","0.562666666666667","0.0891399080896763","0.0767555449588172","0.10093300766248","0.188795783519443"
"Distal.Indentation.Area","0.718354761455943","0.651196213146595","0.755333333333333","0.682666666666667","0.108612081857657","0.108266216257841","0.117317138398312","0.159170107251662"
"Distal.End.Protrusion","0.421899705794827","0.458270605699391","0.535333333333333","0.317333333333333","0.12887521940071","0.142444430053652","0.118228913818236","0.160847865370304"
"Obovoid","0.619990229110164","0.344241561966954","0.516666666666667","0.576","0.208197625326742","0.160819046140874","0.138261820819042","0.18233386296542"
"Ovoid","0.690724191363707","0.597421220123871","0.536","0.533333333333333","0.101605036286612","0.132836945555614","0.127062844462703","0.17898545802228"
"V..Asymmetry","0.614699919228828","0.567732778831427","0.628666666666667","0.514666666666667","0.136677771561628","0.128121319342223","0.114303649918922","0.195721575517475"
"H..Asymmetry.ob","0.438140434525401","0.27412910233671","0.439333333333333","0.478666666666667","0.241082166720396","0.161799726796152","0.115215972668471","0.174781423101248"
"H..Asymmetry.ov","0.799701295286869","0.774394508940506","0.719333333333333","0.678666666666667","0.068440871235285","0.0842632539050855","0.100799932530782","0.162028527882823"
"Width.Widest.Pos","0.630425130736882","0.529720736412614","0.613333333333333","0.606666666666667","0.116660886363829","0.134536932652098","0.113909575975339","0.18452429921893"
"Eccentricity","0.804321380161716","0.64706216752145","0.562","0.370666666666667","0.0719572219440736","0.11146848585518","0.110926543201243","0.167711267812364"
"Proximal.Eccentricity","0.206462770989953","0.160197059886177","0.48","0.464","0.330437792212104","0.168483367712323","0.131077107283046","0.19292172492052"
"Distal.Eccentricity","NaN","NaN","1","1",NA,NA,"0","0"
"Fruit.Shape.Index.Internal","0.840062086045895","0.830751234845137","0.776","0.696","0.057750377548378","0.0749915012145315","0.0909900798486983","0.151449373559873"
"Eccentricity.Area.Index","0.74015795388813","0.682216158264508","0.670666666666667","0.609333333333333","0.0808990549263559","0.0958977222678079","0.103979003215167","0.164397074822792"
"Average.Red","0.650980552099188","0.619935886378012","0.634","0.552","0.106576585574814","0.110980303824895","0.119186279107609","0.172902579545312"
"Average.Green","0.711204619875923","0.680009559542292","0.671333333333333","0.526666666666667","0.0858716808817831","0.100283648815605","0.11072468224055","0.187411425760525"
"Average.Blue","0.733832250140976","0.68714018745328","0.688","0.642666666666667","0.0887115533740849","0.108343904637047","0.106134016838153","0.169621238803529"
"Average.Luminosity","0.714091662252095","0.658616174349515","0.656","0.616","0.0932097028288796","0.111678635343374","0.105855416146349","0.17420191940628"
"Average.L.Value","0.711886843136981","0.68422687660095","0.672","0.574666666666667","0.0854721171118545","0.102742579864242","0.108138613508513","0.173857407694613"
"Average.a.Value","0.707304883585719","0.587059794703074","0.608666666666667","0.269333333333333","0.0864672901215695","0.104042373431821","0.117545745295763","0.171822706606528"
"Average.b.Value","0.41468390560861","0.44804746708383","0.535333333333333","0.306666666666667","0.140880645889602","0.144188713307658","0.11879521981359","0.184887655591596"
"Average.Hue","0.717033671048051","0.57657633637003","0.515333333333333","0.190666666666667","0.0821557890121099","0.102989877155048","0.133480344010407","0.156018699045664"
"Average.Chroma","0.578350828505246","0.564408268299086","0.59","0.374666666666667","0.107863222506511","0.108420256312495","0.113368200979325","0.175394729002809"
"Lobedness.Degree","0.545726298848286","0.512572536649777","0.508","0.432","0.114724148869472","0.114969346953957","0.101346637534737","0.150310640310671"
"Pericarp.Area","0.583829832878066","0.558643777835898","0.56","0.478666666666667","0.104099131180672","0.107382968717149","0.107441259118989","0.177826801592598"
"Pericarp.Thickness","0.537137436649946","0.501089076960621","0.511333333333333","0.364","0.115908922065552","0.118557935938099","0.107775971140404","0.175047452818529"
