Trait,Mean-Pearson,Spearman,Top30,Top15,SD-Pearson,Spearman,Top30,Top15
Perimeter,0.776193419,0.769669513,0.702666667,0.5,0.068271119,0.081148505,0.108030984,0.200335289
Area,0.812175537,0.784638678,0.712,0.590666667,0.072967147,0.091622557,0.112279613,0.167631213
Width.Mid.height,0.870206099,0.865697415,0.780666667,0.654666667,0.053722927,0.052324278,0.093188606,0.177826802
Maximum.Width,0.855197962,0.844186821,0.765333333,0.649333333,0.054272043,0.060977043,0.096923596,0.171744569
Height.Mid.width,0.799401696,0.804214274,0.716666667,0.498666667,0.060021553,0.068493419,0.104539044,0.186449218
Maximum.Height,0.796613502,0.798437447,0.718,0.550666667,0.061031038,0.069140194,0.103670878,0.193777935
Curved.Height,0.792218004,0.792527286,0.716666667,0.578666667,0.061101846,0.069906188,0.104539044,0.175164991
Fruit.Shape.Index.External.I,0.809377192,0.80727929,0.754666667,0.6,0.063608504,0.073493128,0.098707531,0.17798273
Fruit.Shape.Index.External.II,0.81454465,0.796061329,0.75,0.68,0.066311945,0.081560263,0.093227009,0.144705208
Curved.Fruit.Shape.Index,0.811880406,0.755610012,0.738,0.7,0.073811179,0.098068911,0.101445922,0.155005954
Proximal.Fruit.Blockiness,0.674648951,0.565328642,0.540666667,0.492,0.101611638,0.130743097,0.118206205,0.17282493
Distal.Fruit.Blockiness,0.546050503,0.581110048,0.61,0.372,0.117983489,0.112779432,0.109758735,0.185414464
Fruit.Shape.Triangle,0.586227996,0.57259197,0.578,0.297333333,0.126029444,0.121100408,0.119770474,0.163414352
Ellipsoid,0.72245915,0.655043265,0.627333333,0.545333333,0.110408577,0.112714814,0.109235701,0.166925079
Circular,0.803285525,0.767322184,0.743333333,0.637333333,0.068153967,0.086128655,0.102594966,0.166102849
Rectangular,0.76477059,0.738030711,0.725333333,0.561333333,0.07810452,0.089847786,0.099114649,0.160027962
Shoulder.Height,0.70355128,0.623455619,0.658,0.609333333,0.10716028,0.114645967,0.12055242,0.159422897
Proximal.Angle.Micro,0.502672144,0.46488356,0.545333333,0.414666667,0.112440232,0.129885579,0.112677402,0.189802676
Proximal.Angle.Macro,0.691280718,0.668751581,0.642666667,0.617333333,0.093862157,0.101474505,0.104494094,0.176371583
Proximal.Indentation.Area,0.656735828,0.637379512,0.629333333,0.576,0.109946752,0.10780058,0.112056234,0.186698623
Distal.Angle.Micro,0.738420731,0.717192234,0.723333333,0.589333333,0.079280275,0.081308131,0.108940392,0.166748079
Distal.Angle.Macro,0.733737558,0.734530638,0.736,0.564,0.092084153,0.082941269,0.094322024,0.191174399
Distal.Indentation.Area,0.7084242,0.630572115,0.736,0.676,0.108331854,0.113362755,0.120557987,0.163304796
Distal.End.Protrusion,0.412305667,0.401237724,0.497333333,0.316,0.148592437,0.143550002,0.119813427,0.170699312
Obovoid,0.588850062,0.380154586,0.496666667,0.542666667,0.219198577,0.163443322,0.126074798,0.192944916
Ovoid,0.680289437,0.583841252,0.534,0.528,0.103370889,0.132668079,0.116336702,0.178404562
V..Asymmetry,0.610075185,0.548515655,0.627333333,0.526666667,0.125903385,0.132560747,0.111666249,0.185973465
H..Asymmetry.ob,0.394464896,0.305771931,0.428666667,0.468,0.237656059,0.160462546,0.140629776,0.193630105
