"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Perimeter","0.777276294605391","0.76648632913576","0.709333333333333","0.52","0.0721733947793359","0.0861249347033305","0.110122973766741","0.183917110013464"
"Area","0.813665586456874","0.782447099074234","0.719333333333333","0.6","0.0724248122349245","0.0913356852155954","0.107251612003759","0.160536014901756"
"Width.Mid.height","0.887270025118539","0.884632281064919","0.806666666666667","0.646666666666667","0.0503837740690375","0.0491211273293465","0.0840794340515269","0.174042603234071"
"Maximum.Width","0.865578937671524","0.857079272680339","0.783333333333333","0.644","0.0551685642780778","0.0622343386298948","0.0907956379718782","0.168483165868902"
"Height.Mid.width","0.803873376101366","0.808003014446124","0.722666666666667","0.564","0.0576885914485666","0.0692424798094428","0.110609456655234","0.179589389979722"
"Maximum.Height","0.802266697725543","0.799805607765484","0.728666666666667","0.601333333333333","0.0598146853534088","0.0736720424803912","0.105128024646122","0.187525986267843"
"Curved.Height","0.794892135309603","0.792880135852139","0.719333333333333","0.601333333333333","0.0623534445886554","0.0744139031066867","0.100799932530782","0.177221912482577"
"Fruit.Shape.Index.External.I","0.843441288766416","0.841914285314643","0.780666666666667","0.658666666666667","0.0491393499596969","0.0645805239389948","0.100799932530782","0.164739642734052"
"Fruit.Shape.Index.External.II","0.844279685382746","0.831476515765045","0.773333333333333","0.708","0.0520077264112301","0.0730787711641784","0.0816496580927726","0.134374014745881"
"Curved.Fruit.Shape.Index","0.8346128319513","0.798013247162551","0.767333333333333","0.702666666666667","0.0616257841279106","0.0830257373437392","0.0937629931339213","0.158409318868085"
"Proximal.Fruit.Blockiness","0.694698462695143","0.602928242400163","0.578666666666667","0.518666666666667","0.0935542255449079","0.127628213834057","0.116772403347046","0.1573209717208"
"Distal.Fruit.Blockiness","0.566607079071791","0.599790108634802","0.617333333333333","0.385333333333333","0.113608464107853","0.107377888585898","0.109756696554145","0.164004692463015"
"Fruit.Shape.Triangle","0.604739717157592","0.586108234202301","0.572","0.298666666666667","0.122620737888206","0.120171702628406","0.118785803504013","0.166683668036663"
"Ellipsoid","0.704247002866038","0.625004485026292","0.598","0.537333333333333","0.119528876153925","0.116948016584082","0.12177104713134","0.17968901796363"
"Circular","0.818164163722078","0.786562481164383","0.764666666666667","0.672","0.0588735326670852","0.0800599876520134","0.0949296218765233","0.152438787362723"
"Rectangular","0.78108223588257","0.769106527698151","0.741333333333333","0.537333333333333","0.0698701424227012","0.0778103033512961","0.0935408367675677","0.157389213903761"
"Shoulder.Height","0.717048919329104","0.642038251088669","0.682666666666667","0.628","0.104483995746965","0.112855830545774","0.112175956381734","0.141003117676989"
