Taxa,Cultivation type ,Plant growth habit ,Leaf type ,Inflorescence type,Stype position ,After the fruit turns colour. ,Exterior colour of inmature fruit,Presence of jointless pedicel,Exterior color of mature fruit ,Presence of green (shoulder) trips on the fruit ,Intensity of greenback (green shoulder),Fruit fasciation ,Fruit size,Shape of pistil scar,Blossom end shape  ,Ribbing at calix end ,Skin colour of ripen fruit ,Transvers section ,Number of locules,Puffiness,Varietal type,Fruit ize variation within a plant,Fruit set ,Flowering earliness,Maturity earliness,Fruit yield per plant,Average fruit weight,Productivity per plant,Fruit number per plant,"Brix,%",BNTC,"FRAP, umol Fe2+/g FW","TP, mg GAE/100g FW",Resistance
CPSBB_TOM153,2,4,5,4,NA,3,5,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,1.53,123,70,10.5,NA,NA,NA,NA
CPSBB_TOM154,2,4,9,1,NA,3,3,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,1.3,23,18,NA,NA,NA,NA,NA
CPSBB_TOM155,2,4,5,4,NA,3,5,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.08,56,27,11.5,NA,NA,NA,NA
CPSBB_TOM156,2,4,5,4,NA,3,5,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.21,95,44,10.9,NA,NA,NA,NA
CPSBB_TOM157,2,4,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPSBB_TOM158,2,4,5,4,NA,3,3,NA,1,1,3,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,3.66,59,16,NA,NA,NA,NA,NA
CPSBB_TOM159,2,4,5,4,NA,3,3,NA,1,1,3,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.2,118,54,8.9,NA,NA,NA,NA
CPSBB_TOM160,2,4,5,4,NA,3,3,NA,1,1,3,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.53,66,25,8.6,NA,NA,NA,NA
CPSBB_TOM161,2,4,8,4,NA,2,1,NA,1,1,3,1,1,1,2,0,1,1,1,0,5,0,1,3,NA,NA,2.65,270,102,10.1,NA,NA,NA,NA
CPSBB_TOM162,2,4,6,4,NA,3,3,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,1.45,25,17,10,NA,NA,NA,NA
CPSBB_TOM163,2,4,6,4,NA,2,5,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,0.94,14,16,11.6,NA,NA,NA,NA
CPSBB_TOM164,2,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPSBB_TOM165,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPSBB_TOM166,2,4,7,4,NA,3,1,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,3.83,97,25,9,NA,NA,NA,NA
CPSBB_TOM167,2,4,7,3,NA,3,5,NA,4,1,7,1,1,1,2,0,2,1,1,0,5,0,1,3,3,NA,1.2,110,91,11.1,NA,NA,NA,NA
CPSBB_TOM168,2,4,7,1,NA,4,5,NA,4,1,7,1,1,1,2,0,2,1,1,0,5,0,3,3,3,NA,4.31,312,72,8.7,NA,NA,NA,NA
CPSBB_TOM169,2,4,4,2,NA,3,5,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.96,252,85,11.7,NA,NA,NA,NA
CPSBB_TOM170,2,4,7,1,NA,3,5,NA,4,1,5,1,1,1,2,0,2,1,1,0,5,0,1,3,3,NA,1.67,245,145,10.5,NA,NA,NA,NA
CPSBB_TOM171,2,4,7,1,NA,3,5,NA,4,1,5,1,1,1,2,0,2,1,1,0,5,0,1,3,3,NA,1.07,73,68,9.3,NA,NA,NA,NA
CPSBB_TOM172,2,4,11,1,NA,3,5,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,1.57,23,15,NA,NA,NA,NA,NA
CPSBB_TOM173,2,2,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPSBB_TOM174,2,4,5,4,NA,3,3,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,3,NA,NA,3.3,85,26,NA,NA,NA,NA,NA
CPSBB_TOM175,2,4,4,4,NA,3,1,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,3.07,115,29,7.8,NA,NA,NA,NA
CPSBB_TOM176,2,4,8,1,NA,3,1,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.97,185,65,10.3,NA,NA,NA,NA
CPSBB_TOM177,2,4,7,4,NA,3,5,NA,4,1,5,1,1,1,2,0,2,1,1,0,5,0,1,3,3,NA,1.81,234,129,10.2,NA,NA,NA,NA
CPSBB_TOM178,2,4,4,4,NA,3,1,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,3,NA,NA,1.96,99,50,8.5,NA,NA,NA,NA
CPSBB_TOM179,2,4,7,1,NA,3,5,NA,4,1,5,1,1,1,2,0,2,1,1,0,5,0,3,3,3,NA,1.94,180,93,10.5,NA,NA,NA,NA
CPSBB_TOM180,2,4,4,4,NA,3,1,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,5,NA,3.5,202,58,8.5,NA,NA,NA,NA
CPSBB_TOM181,2,4,7,1,NA,3,5,NA,4,1,5,1,1,1,2,0,2,1,1,0,5,0,1,5,5,NA,1.18,86,73,16.7,NA,NA,NA,NA
CPSBB_TOM182,2,2,7,1,NA,3,3,NA,4,1,5,1,1,1,2,0,2,1,1,0,5,0,1,3,3,NA,1.19,89,75,12.1,NA,NA,NA,NA
CPSBB_TOM183,2,4,5,4,NA,3,1,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,7.73,77,10,NA,NA,NA,NA,NA
CPSBB_TOM184,2,4,4,4,NA,3,3,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.47,146,59,10.9,NA,NA,NA,NA
CPSBB_TOM185,2,4,4,4,NA,3,1,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.7,127,47,10.2,NA,NA,NA,NA
CPSBB_TOM186,2,4,4,4,NA,3,1,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,2.64,384,146,9,NA,NA,NA,NA
CPSBB_TOM187,2,4,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPSBB_TOM188,2,4,7,1,NA,3,5,NA,2,1,7,1,1,1,2,0,2,1,1,0,5,0,1,5,5,NA,3.88,475,122,NA,NA,NA,NA,NA
CPSBB_TOM189,2,2,3,1,NA,5,5,NA,5,1,5,1,2,2,2,0,1,1,1,0,4,5,1,5,5,NA,52.82,667,13,9.5,NA,NA,NA,NA
CPSBB_TOM190,2,4,9,1,NA,3,3,NA,1,1,5,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,1.3,23,18,NA,NA,NA,NA,NA
CPSBB_TOM191,2,4,9,4,NA,3,3,NA,1,1,3,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,NA,19,13,10.3,NA,NA,NA,NA
CPSBB_TOM192,2,4,7,1,NA,3,5,NA,4,1,5,1,1,1,2,0,2,1,1,1,5,0,1,5,5,NA,1.79,120,67,10.8,NA,NA,NA,NA
CPSBB_TOM193,2,4,5,4,NA,3,5,NA,1,0,0,1,1,1,2,0,1,1,1,0,5,0,1,5,NA,NA,1.83,24,13,11,NA,NA,NA,NA
CPSBB_TOM194,2,4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
