Taxa,Cultivation type ,Plant growth habit ,Leaf type ,Inflorescence type,Stype position ,After the fruit turns colour. ,Exterior colour of inmature fruit,Presence of jointless pedicel,Exterior color of mature fruit ,Presence of green (shoulder) trips on the fruit ,Intensity of greenback (green shoulder),Fruit fasciation ,Fruit size,Shape of pistil scar,Blossom end shape  ,Ribbing at calix end ,Skin colour of ripen fruit ,Transvers section ,Number of locules,Puffiness,Varietal type,Fruit ize variation within a plant,Fruit set ,Flowering earliness,Maturity earliness,Fruit yield per plant,Average fruit weight,Productivity per plant,Fruit number per plant,"Brix,%",BNTC,"FRAP, umol Fe2+/g FW","TP, mg GAE/100g FW",Resistance
CPSBB_TOM001,2,4,3,1,2,3,5,1,4,1,5,3,4,2.4,2,3,2,1,2,0,1,3,3,5,5,5,173.16,2827,18,4.5,24.17,3.89,39.53,0
CPSBB_TOM002,2,4,3,2,2,1,5,1,4,1,5,5,5,2.4,2,3,2,3,3,3,2,3,3,5,5,5,514.88,3153,7,4.6,24.17,2.83,30,0
CPSBB_TOM003,2,4,3,2,2,5,5,1,4,1,5,5,5,2.4,3,3,2,3,3,3,2,3,3,5,5,3,332.23,2334,5,5.2,22.9,3.41,34.38,0
CPSBB_TOM004,2,4,3,2,2,2,5,1,5,1,5,5,5,2.4,2,3,1,3,3,3,2,5,3,5,5,5,517.3,4058,10,5,21.62,2.46,23.89,0
CPSBB_TOM005,2,4,3,2,2,2,5,1,4,1,5,5,5,4,2,3,2,3,3,3,2,5,3,5,5,5,576.6,3062,6,4.4,23.53,3.33,32.43,0
CPSBB_TOM006,2,4,3,2,2,3,5,1,4,1,5,5,4,4,2,3,2,3,3,3,1,5,3,5,5,5,338.26,3287,9,5.5,28.62,4.57,44.68,0
CPSBB_TOM007,2,4,3,2,2,3,5,1,3,1,5,3,4,2,2,3,2,2,2,3,1,5,3,7,7,5,209.82,3606,17,4.5,39.43,2.71,27.21,0
CPSBB_TOM008,2,4,3,2,2,5,5,1,4,1,5,5,5,2.4,3,3,2,3,3,3,2,5,3,5,5,3,429.59,3153,9,4.6,27.35,3.86,39.97,0
CPSBB_TOM009,2,4,3,2,2,1,5,1,2,1,5,5,5,4,2,3,2,3,3,3,2,5,3,7,7,5,426.8,3747,10,4.7,19.58,4.21,40.66,0
CPSBB_TOM010,2,4,3,2,2,2,5,1,5,1,5,5,5,4,2,3,1,3,3,3,1,5,3,5,5,5,410.82,3493,9,4.6,20.35,3.08,29.94,0
CPSBB_TOM011,2,4,3,1,2,2,5,1,4,1,5,1,2,1.2,2,3,2,1,1,0,1,1,1,5,5,5,45.37,1348,33,7.3,33.79,6.79,68.16,0
CPSBB_TOM012,2,4,3,1,2,4,5,1,4,1,5,1,2,1,2,0,2,1,1,0,3,3,1,5,5,5,31.5,1482,35,7.5,32.12,4.88,52.38,0
CPSBB_TOM013,2,4,3,2,2,4,3,0,5,0,0,1,3,1,3,3,1,1,1,0,3,3,1,5,5,7,69.37,2459,41,4.9,19.46,3.5,34.71,1
CPSBB_TOM014,2,3,3,1,2,3,5,0,4,0,0,1,4,1.2,3,3,2,1,2,0,1,3,1,5,5,7,166.71,3025,18,4.5,20.48,3.21,30.67,0
CPSBB_TOM015,2,3,3,2,2,4,5,0,4,0,0,1,3,1,2,0,2,1,1,0,3,3,1,5,5,7,66.3,3219,49,5.2,18.94,4.07,38.13,1
CPSBB_TOM016,2,4,3,1,2,4,7,1,7,1,7,1,3,1.2,2,0,2,1,1,0,1,3,3,5,5,3,63.85,NA,33,5.4,34.98,5.47,57.23,0
CPSBB_TOM017,2,4,3,3,2,1,5,0,5,0,0,7,5,4,2,5,1,3,3,3,1,5,5,5,5,5,372.96,2992,8,6.3,18.76,3.36,33.39,1
CPSBB_TOM018,2,4,3,1,2,3,5,0,4,0,0,1,3,1,2,0,2,1,2,0,1,3,1,5,5,5,131.18,3598,32,6.4,34.66,5.46,53.04,0
CPSBB_TOM019,2,4,3,2,2,3,3,0,6,0,0,1,3,1,2,0,2,1,1,0,4,3,1,7,5,5,74.6,2017,27,4.7,45.79,6.22,56.16,0
CPSBB_TOM020,2,4,3,1,2,5,5,1,5,1,5,5,5,2.4,3,3,1,3,3,3,2,5,3,5,5,5,442.73,3640,8,4.9,16.32,3.07,29.23,0
CPSBB_TOM021,2,4,3,2,2,1,5,1,5,1,5,5,5,4,2,3,2,3,3,3,2,5,3,5,5,5,409.62,3511,9,5.2,22.9,3.6,34.99,0
CPSBB_TOM022,2,4,2,2,2,4,5,1,2,1,5,1,2,1,2,0,2,1,1,0,5,1,1,5,5,5,13.71,1367,92,7.4,32.32,6.04,62.07,0
CPSBB_TOM023,2,4,3,3,2,3,5,1,7,1,5,1,2,1,2,0,2,1,1,0,5,3,1,5,5,3,20.39,1099,59,7.7,32.64,5.34,53.44,0
CPSBB_TOM024,2,4,3,1,2,4,5,1,4,1,5,1,2,1,2,0,2,1,1,0,5,3,1,5,5,5,14.8,702,46,7.8,43.84,7.31,68.43,0
CPSBB_TOM025,2,4,3,2,2,4,5,1,4,1,5,1,2,1,2,0,2,1,1,0,5,1,1,3,3,7,11.06,1139,97,6.7,33.6,5.65,59.01,0
CPSBB_TOM026,2,3,4,2,3,3,5,0,1,0,0,1,1,1,2,0,1,1,1,0,5,1,1,5,5,3,1.43,120,83,8.4,9.49,9.62,88.28,1
CPSBB_TOM027,2,4,3,1,2,4,5,1,4,1,5,1,1,1,2,0,2,1,1,0,5,1,1,5,5,3,6.01,530,72,8.3,41.47,11.78,124.24,0
CPSBB_TOM028,2,2,3,1,2,3,5,1,4,1,7,1,1,1,2,0,2,1,1,0,5,1,1,3,3,7,5.92,1100,165,8.1,37.56,6.24,67.76,0
CPSBB_TOM029,2,2,3,1,2,3,5,1,4,1,7,1,1,1,2,0,2,1,1,0,5,1,1,3,3,5,5.57,875,165,8.2,36.31,8.09,97.92,0
CPSBB_TOM030,2,2,3,1,2,3,5,1,3,1,5,1,1,1,2,0,2,1,1,0,5,1,1,3,3,5,4.91,719,149,8.2,20.66,7.27,89.43,0
CPSBB_TOM031,2,4,3,2,2,3,5,1,4,1,5,1,2,2,2,0,1,1,1,0,5,3,1,5,5,3,18.79,765,46,7.1,46.43,9.62,105.25,0
CPSBB_TOM032,2,4,3,1,2,7,5,1,2,1,7,1,2,1,2,0,2,1,1,0,6,1,1,3,3,5,14.84,701,47,6,32,6.02,68.37,0
CPSBB_TOM033,2,3,4,2,3,2,5,0,1,0,0,1,1,1,2,0,2,1,1,0,5,1,1,5,5,3,1.23,100,81,7.4,12.2,8.12,75.85,0
CPSBB_TOM034,2,2,3,2,2,3,5,1,4,1,5,1,4,1,2,3,2,3,2,0,4,5,3,5,5,5,214.36,2900,17,6.2,24.17,3.91,46.97,0
CPSBB_TOM035,2,2,3,2,2,3,5,1,3,1,5,1,3,1.2,2,3,2,1,2,0,4,5,3,5,5,5,111.11,1791,18,5.5,26.24,4.01,43.61,0
CPSBB_TOM036,2,2,3,1,2,3,5,0,4,0,0,1,4,1,2,3,2,1,2,0,4,5,3,5,5,5,111.65,3636,30,5.7,25.44,3.41,36.85,0
CPSBB_TOM037,2,2,3,1,2,3,5,1,4,1,5,1,4,1.2,2,3,2,1,2,0,4,5,3,5,5,5,173.08,5888,36,5.5,24.17,2.79,29.01,0
CPSBB_TOM038,2,2,3,1,2,3,5,0,4,0,0,1,4,1,3,3,2,1,2,0,4,5,3,5,5,5,171.34,3456,22,5.4,26.88,3.85,40.54,0
