"Trait","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%"
"Perimeter","0.6438026066361","0.63500576516918","0.763842603086028","0.778524345772446","0.805849641341632","0.802722616580566","0.812549483161337","0.809078854451743","0.579551957556399","0.584953011308778","0.746032099157794","0.749401027596801","0.778942634673447","0.775219132369299","0.785842788283278","0.783905291593834","0.620740740740741","0.622222222222222","0.671111111111111","0.653333333333333","0.672592592592593","0.662222222222222","0.676296296296296","0.673333333333333","0.353333333333333","0.305","0.55","0.566666666666667","0.618333333333333","0.613333333333333","0.615","0.633333333333333"
"Area","0.578755998295367","0.570222305156045","0.70003395257605","0.737860916292328","0.779015836833006","0.779453995330102","0.78784757611668","0.782239976204587","0.561605024109121","0.560701718599859","0.708821865564913","0.724177975528365","0.753492875681975","0.755447640235182","0.764188993061073","0.761005243921818","0.62","0.622222222222222","0.656296296296296","0.638518518518518","0.659259259259259","0.655555555555556","0.661481481481481","0.662962962962963","0.418333333333333","0.361666666666667","0.538333333333333","0.571666666666667","0.613333333333333","0.623333333333333","0.628333333333333","0.626666666666667"
"Width.Mid.height","0.603731183111598","0.594072856250599","0.687823909777671","0.733362425381908","0.768432980541453","0.775246159641922","0.784511508472068","0.774900869548692","0.57531724228352","0.586222209861465","0.703898445608682","0.732007985901136","0.759745289703753","0.761071598934571","0.772243434867226","0.764938999179965","0.585925925925926","0.603703703703704","0.634814814814815","0.644444444444444","0.671111111111111","0.659259259259259","0.674814814814815","0.672592592592593","0.23","0.245","0.398333333333333","0.513333333333333","0.613333333333333","0.605","0.616666666666667","0.616666666666667"
"Maximum.Width","0.610914173549796","0.601257352857643","0.698834402716542","0.740025260102062","0.774153475386535","0.779126803841974","0.789016056360349","0.779985727355484","0.581730637836503","0.591043180998315","0.710709398814721","0.736843959885573","0.762722804870968","0.763228313244223","0.775143998879393","0.768008914614578","0.585925925925926","0.602962962962963","0.641481481481481","0.651111111111111","0.667407407407407","0.662962962962963","0.673333333333333","0.675555555555556","0.231666666666667","0.246666666666667","0.426666666666667","0.523333333333333","0.62","0.61","0.625","0.626666666666667"
"Height.Mid.width","0.519535829376667","0.518418034300285","0.595939740347165","0.635880967450504","0.680750433780144","0.701724235641516","0.711510329433121","0.69777937124759","0.426247077415015","0.430318951771035","0.5700538250402","0.595905351594307","0.64972567626589","0.677762568222513","0.684020086008273","0.67459791045824","0.483703703703704","0.482962962962963","0.551111111111111","0.544444444444444","0.588148148148148","0.594814814814815","0.61037037037037","0.608148148148148","0.353333333333333","0.363333333333333","0.406666666666667","0.415","0.426666666666667","0.445","0.466666666666667","0.448333333333333"
"Maximum.Height","0.588950125363507","0.585102175756517","0.680583285251671","0.717322214822098","0.753337669887782","0.762589648016073","0.772810005554449","0.766327842597173","0.486211846996604","0.492066935144457","0.650069019256533","0.667175861829105","0.704142784396948","0.71540621889973","0.723318785721132","0.720446042418154","0.545925925925926","0.548148148148148","0.62","0.617037037037037","0.619259259259259","0.624444444444444","0.643703703703704","0.646666666666667","0.441666666666667","0.468333333333333","0.528333333333333","0.556666666666667","0.57","0.565","0.591666666666667","0.595"
"Curved.Height","0.591836420008615","0.587933667268028","0.687542171342267","0.721571611972791","0.759429015709375","0.76718908893578","0.778193831043954","0.772215920992034","0.485927195562915","0.493291889601515","0.653296043222628","0.668139626039515","0.712446316012501","0.719862068965517","0.72847735579215","0.725442978971344","0.545185185185185","0.547407407407407","0.620740740740741","0.612592592592593","0.622962962962963","0.628888888888889","0.651111111111111","0.648148148148148","0.456666666666667","0.478333333333333","0.555","0.575","0.59","0.581666666666667","0.616666666666667","0.625"
"Fruit.Shape.Index.External.I","0.216589267746788","0.221253230174323","0.271834073410083","0.358055135036792","0.472047800103874","0.566094439741072","0.582494677664611","0.531627050600645","0.308201024870403","0.32101796302875","0.414374384236453","0.446402245881667","0.503099210763282","0.537432173314264","0.541305683563748","0.529286932570581","0.425185185185185","0.437777777777778","0.481481481481481","0.516296296296296","0.556296296296296","0.588888888888889","0.595555555555556","0.572592592592593","0.188333333333333","0.198333333333333","0.206666666666667","0.238333333333333","0.316666666666667","0.366666666666667","0.36","0.31"
"Fruit.Shape.Index.External.II","0.238839191336075","0.241104059761294","0.286693452283647","0.35951376204795","0.472018295465318","0.562514685125246","0.574502897930441","0.521057526393528","0.348096606788391","0.352999442837895","0.435707081942899","0.465863340219291","0.514223422850786","0.547464166534244","0.547743312675459","0.53659028550241","0.457777777777778","0.467407407407407","0.511851851851852","0.532592592592593","0.565925925925926","0.597037037037037","0.602962962962963","0.582962962962963","0.203333333333333","0.211666666666667","0.21","0.228333333333333","0.313333333333333","0.38","0.385","0.311666666666667"
"Curved.Fruit.Shape.Index","0.208856091521904","0.213757546444523","0.261116665403948","0.335178329558273","0.45504581049129","0.571268229991602","0.592087627259987","0.517320692350643","0.315809955970544","0.329232192434653","0.419778801843318","0.443050055617353","0.487185550082102","0.528473436093013","0.537359076222257","0.517629959213941","0.442222222222222","0.452592592592593","0.497037037037037","0.527407407407407","0.554074074074074","0.581481481481481","0.593333333333333","0.561481481481481","0.183333333333333","0.201666666666667","0.203333333333333","0.236666666666667","0.32","0.373333333333333","0.376666666666667","0.303333333333333"
