"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Perimeter","0.802099737670083","0.772752052545156","0.679259259259259","0.616666666666667","0.0663507485189627","0.0850745814014047","0.114805593272683","0.177762629854272"
"Area","0.777384128903807","0.752200328407225","0.665185185185185","0.6","0.0668191159521116","0.0926944973605554","0.10769288435055","0.196444913466462"
"Width.Mid.height","0.767437487074083","0.755783081738877","0.679259259259259","0.596666666666667","0.071567655458102","0.0859712037218707","0.123162047699962","0.178045566397051"
"Maximum.Width","0.772193719395055","0.7581201214793","0.678518518518519","0.598333333333333","0.0705633895076006","0.0850258453179238","0.120859919618262","0.178304530488827"
"Height.Mid.width","0.693980464475976","0.663354525681969","0.62","0.485","0.0833565690902039","0.122712284481019","0.115333636503002","0.201150215997829"
"Maximum.Height","0.761466158684385","0.710056976887889","0.62962962962963","0.596666666666667","0.073050710028277","0.108934669383565","0.126566195528154","0.189459374500524"
"Curved.Height","0.767365165829933","0.718013136288998","0.651851851851852","0.611666666666667","0.0724468961552121","0.106765627427974","0.128515148084612","0.179803832952802"
"Fruit.Shape.Index.External.I","0.513718415569059","0.503998132095017","0.554074074074074","0.315","0.159050134689545","0.143705712697548","0.120750179959176","0.179554818609543"
"Fruit.Shape.Index.External.II","0.50622748067449","0.516149191233244","0.566666666666667","0.296666666666667","0.153015005367502","0.143483955071303","0.129211712254771","0.18857169489701"
"Curved.Fruit.Shape.Index","0.506544484399478","0.496443583047793","0.559259259259259","0.295","0.168195289334991","0.143158287343944","0.121727469010432","0.176349066594044"
"Proximal.Fruit.Blockiness","0.278076482798429","0.383072457425245","0.467407407407407","0.226666666666667","0.104908904518851","0.133632274260232","0.134580709238513","0.186243928477829"
"Distal.Fruit.Blockiness","0.0396043489775998","0.0890321225737223","0.368148148148148","0.2","0.137678081398269","0.177682544102488","0.137528259461148","0.187709614375127"
"Fruit.Shape.Triangle","0.0723827451201994","0.0336590271237035","0.308148148148148","0.26","0.110986964118915","0.17185746235435","0.116674064370173","0.194038673236573"
"Ellipsoid","0.582473980712585","0.611421004850967","0.645925925925926","0.408333333333333","0.103467073813198","0.108721177907961","0.111026564900588","0.213662270875149"
"Circular","0.501010564526512","0.478559794162604","0.565925925925926","0.408333333333333","0.119188687551043","0.138121677037764","0.125038177394185","0.186401517502056"
"Rectangular","0.443037315414058","0.421382164575082","0.545925925925926","0.418333333333333","0.117744928622346","0.142730910784623","0.128689106052207","0.219625723932729"
"Shoulder.Height","0.5922664447507","0.59657820365789","0.615555555555556","0.406666666666667","0.0913723332785063","0.107885115433342","0.105078595869795","0.191134608270578"
"Proximal.Angle.Micro","0.534742740815927","0.513848187626214","0.444444444444444","0.246666666666667","0.0941479789351158","0.12124669378999","0.142768339999766","0.196416441125785"
"Proximal.Angle.Macro","0.595052980500107","0.636390804597701","0.639259259259259","0.431666666666667","0.105380307207599","0.100105459829068","0.115093917178933","0.20663626463256"
"Proximal.Indentation.Area","0.639126051259181","0.653819891020399","0.648888888888889","0.438333333333333","0.0837243401068403","0.0969169429747131","0.113018673890384","0.202618485235884"
"Distal.Angle.Micro","0.183055966571893","0.296707700001301","0.48","0.295","0.128428225072591","0.170782061597591","0.120291853777979","0.216883818216175"
"Distal.Angle.Macro","0.341186618465306","0.373006183645853","0.52962962962963","0.326666666666667","0.123841592060791","0.145441365985455","0.117572504601238","0.208756840234084"
"Distal.Indentation.Area","0.221254944041602","0.355024155773625","0.50962962962963","0.261666666666667","0.102195341177226","0.143495811380236","0.113096846940637","0.186221404873633"
"Distal.End.Protrusion","0.215588544087739","0.227141672626332","0.360740740740741","0.2","0.067877703548523","0.156521539377539","0.11143626299531","0.168888987008881"
"Obovoid","0.0532264030060813","0.0880419080329049","0.373333333333333","0.193333333333333","0.149350537986074","0.157426894673145","0.133333333333333","0.176531331388988"
"Ovoid","0.0340832167497776","0.0489600512244949","0.328148148148148","0.181666666666667","0.134120885687002","0.153410464857349","0.108726588221434","0.173535740537354"
"V..Asymmetry","0.647483968610001","0.680827493584893","0.705185185185185","0.486666666666667","0.0738597907305858","0.0930738485412677","0.0980264841396749","0.200223588666803"
"H..Asymmetry.ob","0.213627802217758","0.195707133690444","0.422962962962963","0.211666666666667","0.0975255110886821","0.164456472630965","0.123939977472377","0.184864966741705"
"H..Asymmetry.ov","0.537084877688284","0.538666507857937","0.604444444444444","0.523333333333333","0.0840373175805331","0.125543211340206","0.114040431361363","0.179360035602596"
"Width.Widest.Pos","0.13851059149555","0.168942238935688","0.392592592592593","0.193333333333333","0.16003007583414","0.16123388000795","0.121215887376618","0.178891691077214"
"Eccentricity","0.544240322031312","0.58254315083128","0.588888888888889","0.295","0.0984552105322369","0.0968728558716998","0.123975626983048","0.192279683040271"
"Proximal.Eccentricity","-0.0844570300398219","-0.0973572617274768","0.277037037037037","0.146666666666667","0.145496253630234","0.169006222307818","0.133623017815642","0.159136371667423"
"Distal.Eccentricity","0.239126375914035","0.233161404896065","0.388888888888889","0.293333333333333","0.150563982932729","0.157105589163047","0.125305162345102","0.208354585045829"
"Fruit.Shape.Index.Internal","0.507103279943724","0.516773416910917","0.565925925925926","0.296666666666667","0.153082791446045","0.143687381982212","0.127661274688312","0.18857169489701"
"Eccentricity.Area.Index","0.513085900560398","0.537857587919338","0.617037037037037","0.39","0.10229728107028","0.115440408199741","0.120441001094572","0.209825750654165"
"Average.Red","0.498970765080276","0.508091954022988","0.551111111111111","0.291666666666667","0.106840368957425","0.135711978275802","0.126050150012487","0.203609761855964"
"Average.Green","0.230379449269645","0.21623645320197","0.382962962962963","0.121666666666667","0.125384892827043","0.160083795350756","0.111881495331925","0.149766783651979"
"Average.Blue","0.246485301393157","0.220315270935961","0.378518518518518","0.0966666666666667","0.145371866758886","0.16538176991232","0.125534183253982","0.125541333425332"
"Average.Luminosity","0.380427994208201","0.340548440065681","0.378518518518518","0.0966666666666667","0.13930439971203","0.141122913266007","0.122865682418889","0.149906756999755"
"Average.L.Value","0.221272759492867","0.179586206896552","0.339259259259259","0.0733333333333333","0.146269361571062","0.153704038168476","0.118534053170325","0.134447248539422"
"Average.a.Value","0.480106982716416","0.591300037731345","0.571851851851852","0.441666666666667","0.147126392817127","0.120116607339347","0.133399602389777","0.215616539648568"
"Average.b.Value","0.06542240861117","0.0905393997147983","0.383703703703704","0.171666666666667","0.162251804521907","0.173627882994161","0.125197113069746","0.166730971934542"
"Average.Hue","0.32996376601436","0.444748768472906","0.478518518518519","0.285","0.149925907801802","0.136600829930848","0.124106996051451","0.206906748765147"
