"Trait","Mean-Pearson","Spearman","Top30","Top15","SD-Pearson","Spearman","Top30","Top15"
"Perimeter","0.633765936514231","0.573609949430687","0.61037037037037","0.366666666666667","0.104337813390608","0.144287643261149","0.12262942584051","0.236491884920201"
"Area","0.570226628731319","0.554724077292847","0.60962962962963","0.41","0.0980495731860873","0.151773610753018","0.130479441640458","0.256263811217264"
"Width.Mid.height","0.59497169884727","0.575350142544143","0.593333333333333","0.235","0.104398146327939","0.135385771268821","0.11856433988704","0.235716101564812"
"Maximum.Width","0.602268128923386","0.579869088391279","0.591851851851852","0.246666666666667","0.103248385500162","0.134906081057381","0.119029318101383","0.24057165327183"
"Height.Mid.width","0.508462531584131","0.436247840165694","0.48962962962963","0.39","0.11650156444177","0.161257321186459","0.103862489850074","0.213786571109079"
"Maximum.Height","0.578208549834269","0.493010279734163","0.544444444444444","0.478333333333333","0.109115295687654","0.16001695462639","0.114959456012276","0.224237460025633"
"Curved.Height","0.580963162832138","0.494228243625892","0.545925925925926","0.473333333333333","0.107910976339545","0.161350159673267","0.117233746030441","0.213131546065831"
"Fruit.Shape.Index.External.I","0.207846820657227","0.296251788454756","0.425185185185185","0.191666666666667","0.140382187523743","0.138655905748959","0.12262942584051","0.181845190692732"
"Fruit.Shape.Index.External.II","0.22847645866853","0.337484499493844","0.452592592592593","0.203333333333333","0.141237947137731","0.132676397753285","0.120137923518239","0.184069095090235"
"Curved.Fruit.Shape.Index","0.197322046284356","0.302253395473401","0.440740740740741","0.188333333333333","0.141786515911721","0.137502587925549","0.118973616666472","0.180734581124691"
"Proximal.Fruit.Blockiness","0.170146788549005","0.287513808037029","0.42","0.21","0.123433826298689","0.141619440455023","0.12067009854176","0.181066934859264"
"Distal.Fruit.Blockiness","0.0115259092998085","0.0052535420019544","0.320740740740741","0.118333333333333","0.122808209151897","0.160527501415123","0.123832967362871","0.165620317248394"
"Fruit.Shape.Triangle","0.0351480381657762","-0.0360278785063826","0.285925925925926","0.13","0.112393773550509","0.167218555800939","0.126356532995141","0.155222291348709"
"Ellipsoid","0.467274533172857","0.493795806663705","0.583703703703704","0.328333333333333","0.107141006183493","0.140256975146812","0.124932107947077","0.209138266029135"
"Circular","0.360243219296534","0.394292964119291","0.513333333333333","0.235","0.121758765019721","0.146428470177354","0.124588975407563","0.19693541338972"
"Rectangular","0.171526564925916","0.202078607470883","0.432592592592593","0.211666666666667","0.113523303248258","0.155177405184898","0.133870819878934","0.206311215578257"
"Shoulder.Height","0.438348976023451","0.436628545618441","0.515555555555556","0.298333333333333","0.103335161586269","0.142616243198065","0.116768713582113","0.210258443291563"
"Proximal.Angle.Micro","0.392922887751257","0.420668533898858","0.453333333333333","0.181666666666667","0.133239354789491","0.137003628276754","0.13594265092936","0.168632146682815"
"Proximal.Angle.Macro","0.401837917520226","0.414000572021345","0.511111111111111","0.243333333333333","0.127256697333664","0.140541652106295","0.122800476034944","0.202639186291865"
"Proximal.Indentation.Area","0.46073956957354","0.488863609958587","0.544444444444444","0.356666666666667","0.102947685859607","0.143855320781008","0.109041120815353","0.192882294206453"
"Distal.Angle.Micro","0.105819047703768","0.222390739497133","0.377777777777778","0.201666666666667","0.121244810311132","0.141158075455426","0.126129005290774","0.180176709184174"
"Distal.Angle.Macro","0.167042989922088","0.234537679878238","0.382222222222222","0.191666666666667","0.124366449487493","0.133145356045632","0.119017715785548","0.177171727510579"
"Distal.Indentation.Area","0.227686084513267","0.319996504460544","0.474814814814815","0.218333333333333","0.0967759031560291","0.155744337466641","0.122730734348858","0.190585169767018"
"Distal.End.Protrusion","0.205860029634044","0.268066270987246","0.393333333333333","0.153333333333333","0.0674374048084259","0.155763056791504","0.137222667535438","0.165848101711064"
"Obovoid","0.0871269190021566","0.150469876364584","0.471851851851852","0.16","0.162964148770472","0.157658385431535","0.125428533258126","0.151280884583177"
"Ovoid","-0.0129085818080059","0.00246301976089387","0.36","0.173333333333333","0.1342755815488","0.14075223315946","0.1112452583194","0.185340849315675"
"V..Asymmetry","0.525460087171735","0.590769871570229","0.663703703703704","0.476666666666667","0.096801702892929","0.13521125871153","0.117945420253177","0.205516754707066"
"H..Asymmetry.ob","0.264579971168881","0.254015456457129","0.523703703703704","0.321666666666667","0.100513884294702","0.161736586792492","0.130859898281152","0.211531382369306"
"H..Asymmetry.ov","0.35791240996847","0.313522976021262","0.482222222222222","0.393333333333333","0.0992909208227463","0.159484326037218","0.131171891522263","0.201393356683708"
"Width.Widest.Pos","0.118721534280372","0.115794211175094","0.38962962962963","0.193333333333333","0.168570014204337","0.160433891570527","0.125962475139243","0.176531331388988"
"Eccentricity","0.412175452556201","0.449525921472227","0.556296296296296","0.361666666666667","0.0923336521030855","0.137138062307815","0.109607020799213","0.213897725879602"
"Proximal.Eccentricity","-0.0343148387835581","-0.0610173926404328","0.288888888888889","0.15","0.129715057963075","0.152005900004535","0.13501303398964","0.180881510402167"
"Distal.Eccentricity","0.171498660243614","0.221133373799758","0.464444444444444","0.358333333333333","0.164946057044274","0.155079806006222","0.13748808880383","0.207689160699435"
"Fruit.Shape.Index.Internal","0.227824174956677","0.340135547350288","0.459259259259259","0.203333333333333","0.141034634253437","0.131437312261444","0.11914759718837","0.184069095090235"
"Eccentricity.Area.Index","0.339949291733919","0.357860796050565","0.440740740740741","0.196666666666667","0.0950448446422643","0.141316669830298","0.134654569014982","0.16534148785548"
"Average.Red","0.310369568611704","0.275819935840345","0.374814814814815","0.168333333333333","0.134799297026532","0.171181389975981","0.113360282993307","0.170118066646528"
"Average.Green","0.251555121628681","0.253337273966206","0.386666666666667","0.136666666666667","0.112090215354482","0.157941719088616","0.112754439715394","0.167859267783345"
"Average.Blue","0.241627999516301","0.217780397795932","0.367407407407407","0.12","0.138898093604315","0.160546158754558","0.131245565272216","0.141064980980612"
"Average.Luminosity","0.269379666725459","0.195290441152323","0.352592592592593","0.113333333333333","0.159825484287732","0.170797836212713","0.115675572008573","0.152128816250508"
"Average.L.Value","0.219909301731406","0.145556104985299","0.331111111111111","0.0983333333333333","0.132809560534369","0.151278952627078","0.106519597842373","0.135534817670202"
