Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness,Average.fruit.weight,Productivity.per.plant,Fruit.number.per.plant,Brix..,BNTC,FRAP..umol.Fe2..g.FW,TP..mg.GAE.100g.FW
CPSBB_TOM001,214.784,3079.316,66.252,66.844,52.345,57.362,58.356,0.866,0.799,0.895,0.773,0.596,1.295,0.04,0.066,0.539,0.062,225.45,217.475,0.132,168.6,150.875,0,0,0,0.195,0.104,0,0.229,0.427,0.73,0.888,0.888,0.799,0.435,122.79,60.474,44.749,78.816,35.583,28.116,25.744,42.357,38.173,1.677,0.635,0.203,173.16,2827,18,4.5,24.17,3.89,39.53
CPSBB_TOM002,328.233,6438.566,103.082,103.696,63.056,77.28,83.422,0.747,0.614,0.805,0.797,0.66,1.211,0.069,0.138,0.56,0.082,238.75,253,0.182,176.9,170.575,1e-04,0.000375,0,0.162,0.241,0,0.402,0.455,0.652,0.89,0.887,0.613,0.49,136.26,60.85,45.104,85.34,38.197,33.743,29.703,41.357,44.956,2.016,0.777,0.117,514.88,3153,7,4.6,24.17,2.83,30
CPSBB_TOM003,328.532,6980.665,93.67,94.996,83.143,93.528,94.85,0.992,0.897,1.032,0.779,0.575,1.357,0.054,0.07,0.519,0.084,247.967,232.633,0.2,168.667,136.367,0,0,0,0.195,0.213,0,0.452,0.43,0.71,0.89,0.888,0.897,0.443,139.282,59.629,44.197,86.341,38.435,35.656,30.819,40.843,47.13,2.036,0.758,0.151,332.23,2334,5,5.2,22.9,3.41,34.38
CPSBB_TOM004,325.899,6705.459,104.733,105.41,69.173,78.486,80.533,0.747,0.665,0.768,0.778,0.644,1.212,0.052,0.121,0.551,0.065,214.867,229.6,0.202,174.8,163.067,0,0,0,0.153,0.247,0,0.316,0.462,0.709,0.889,0.889,0.665,0.452,152.808,71.847,54.695,97.637,43.529,35.261,31.02,41.315,46.976,2.334,0.711,0.154,517.3,4058,10,5,21.62,2.46,23.89
CPSBB_TOM005,300.23,5097.352,97.79,98.489,52.049,64.177,66.858,0.65,0.531,0.686,0.776,0.674,1.154,0.068,0.174,0.578,0.128,242.275,245.325,0.316,121.725,168.375,0.0163,0.021325,0.027925,0.134,0.194,0.078,0.182,0.453,0.65,0.891,0.889,0.531,0.494,147.169,77.116,55.577,95.448,44.084,29.486,31.159,46.826,43.003,2.216,0.746,0.135,576.6,3062,6,4.4,23.53,3.33,32.43
CPSBB_TOM006,291.645,5639.057,87.08,87.503,72.877,78.888,80.234,0.904,0.839,0.927,0.708,0.673,1.057,0.037,0.054,0.545,0.05,238.55,207.225,0.09,166.9,161.6,0.00345,0.00555,0.067575,0.065,0.137,0.09295,0.089,0.509,0.738,0.89,0.888,0.839,0.433,142.371,63.424,46.183,88.723,39.75,35.032,31.25,41.722,46.956,2.508,0.681,0.172,338.26,3287,9,5.5,28.62,4.57,44.68
CPSBB_TOM007,256.402,4440.866,78.846,79.269,64.304,69.977,70.891,0.884,0.817,0.913,0.741,0.603,1.237,0.034,0.055,0.528,0.053,237.75,208.875,0.108,164.85,149.625,0,0,0,0.163,0.12,0,0.226,0.459,0.735,0.891,0.888,0.816,0.427,179.306,130.959,59.947,112.59,62.308,11.309,53.486,78.05,54.674,1.549,0.623,0.214,209.82,3606,17,4.5,39.43,2.71,27.21
CPSBB_TOM008,358.191,8002.934,97.451,100.457,88.815,105.156,103.014,1.05,0.917,1.069,0.748,0.582,1.341,0.064,0.073,0.49,0.094,253.55,251.2,0.284,154.45,127.483,0.0285,0.023,0.0425,0.132,0.399,0.17085,0.419,0.401,0.676,0.888,0.886,0.919,0.456,138.676,62.19,46.111,86.947,38.886,34.08,30.078,41.425,45.458,2.883,0.65,0.194,429.59,3153,9,4.6,27.35,3.86,39.97
CPSBB_TOM009,317.025,5777.401,99.293,100.457,57.468,73.512,75.861,0.735,0.581,0.769,0.699,0.651,1.093,0.072,0.145,0.552,0.124,261.3,254.725,0.306,174.892,172.283,0.021625,0.005,0.03525,0.146,0.307,0.081525,0.292,0.454,0.624,0.884,0.886,0.58,0.507,178.288,172.383,100.37,131.455,74.427,-10.903,45.831,103.422,47.116,3.024,0.797,0.107,426.8,3747,10,4.7,19.58,4.21,40.66
CPSBB_TOM010,318.51,5889.409,99.356,100.288,57.256,73.787,75.923,0.737,0.578,0.766,0.825,0.593,1.411,0.071,0.144,0.559,0.148,284.45,266.225,0.311,186.542,173.692,0.0173,0.0419,0,0.211,0.224,0,0.389,0.427,0.621,0.89,0.886,0.578,0.515,143.519,67.378,51.126,91.585,40.984,33.486,29.661,41.605,44.741,1.272,0.788,0.125,410.82,3493,9,4.6,20.35,3.08,29.94
CPSBB_TOM011,141.779,1333.822,45.424,45.805,32.533,35.983,37.308,0.786,0.717,0.826,0.762,0.621,1.231,0.042,0.091,0.543,0.066,237.375,217.775,0.134,177.333,163.6,0.000425,0.0047,0,0.17,0.063,0,0.124,0.439,0.722,0.89,0.886,0.716,0.447,116.971,57.124,39.147,73.46,33.62,27.095,26.646,44.517,38.012,0.603,0.593,0.229,45.37,1348,33,7.3,33.79,6.79,68.16
CPSBB_TOM012,141.566,1357.838,37.444,38.015,41.296,44.069,45.076,1.161,1.105,1.205,0.768,0.587,1.322,0.04,0.061,0.541,0.036,245.125,181.875,0.055,156.617,133.8,0,0,0,0.198,0.051,0,0.158,0.419,0.748,0.889,0.887,1.105,0.432,126.503,68.587,51.692,83.833,38.213,25.297,24.654,44.945,35.421,0.847,0.567,0.245,31.5,1482,35,7.5,32.12,4.88,52.38
CPSBB_TOM013,192.377,2402.199,50.207,50.567,54.229,57.087,58.811,1.131,1.083,1.165,0.758,0.673,1.127,0.037,0.058,0.56,0.035,229.125,186.442,0.045,166.208,153.55,0.00365,0.01125,0,0.106,0.058,0,0.11,0.512,0.76,0.89,0.888,1.083,0.431,130.364,65.737,48.437,84.123,38.21,28.558,27.189,43.66,39.462,1.136,0.525,0.274,69.37,2459,41,4.9,19.46,3.5,34.71
CPSBB_TOM014,239.237,3779.182,73.491,74.528,58.716,63.458,64.975,0.855,0.804,0.893,0.79,0.536,1.519,0.04,0.069,0.531,0.048,245.95,206.575,0.101,159.875,142.15,0,0,0,0.219,0.084,0,0.302,0.42,0.739,0.89,0.887,0.804,0.426,137.737,57.436,43.761,85.401,37.615,36.32,29.727,39.301,46.94,1.162,0.597,0.226,166.71,3025,18,4.5,20.48,3.21,30.67
CPSBB_TOM015,174.731,2083.618,47.731,48.387,49.149,52.345,53.258,1.084,1.031,1.111,0.788,0.62,1.271,0.039,0.05,0.555,0.04,242.975,192.075,0.062,170.5,148.7,0,0,0,0.205,0.042,0,0.182,0.41,0.752,0.89,0.888,1.032,0.432,130.306,64.646,48.12,83.92,37.909,29.216,27.031,42.77,39.818,1.917,0.543,0.261,66.3,3219,49,5.2,18.94,4.07,38.13
CPSBB_TOM016,178.86,2202.652,51.626,52.218,49.657,52.218,53.205,1.001,0.963,1.034,0.76,0.591,1.286,0.033,0.035,0.528,0.036,231.225,180.525,0.06,169.2,146.675,0,0,0,0.199,0.054,0,0.176,0.416,0.759,0.89,0.887,0.963,0.419,104.747,57.061,43.645,69.797,31.521,21.739,19.891,42.696,29.534,1.324,0.573,0.242,63.85,NA,33,5.4,34.98,5.47,57.23
CPSBB_TOM017,273.4,4254.018,90.128,90.53,45.381,59.203,62.211,0.656,0.505,0.698,0.79,0.685,1.163,0.078,0.182,0.582,0.145,262.825,268.5,0.33,91.275,171.75,0.013925,0.02005,0.022825,0.1,0.215,0.07895,0.198,0.481,0.611,0.89,0.886,0.504,0.52,134.184,64.632,45.757,84.672,38.613,30.627,29.613,44.026,42.603,2.03,0.716,0.155,372.96,2992,8,6.3,18.76,3.36,33.39
CPSBB_TOM018,178.43,2184.273,53.213,53.488,47.392,49.572,50.06,0.926,0.89,0.944,0.733,0.662,1.12,0.028,0.036,0.55,0.029,236.375,189.85,0.055,170.225,158.6,0,0,0.037325,0.114,0.055,0.017225,0.088,0.481,0.765,0.89,0.888,0.891,0.42,131.776,65.749,48.526,84.811,38.366,29.179,27.2,43.015,39.898,1.22,0.558,0.251,131.18,3598,32,6.4,34.66,5.46,53.04
CPSBB_TOM019,175.183,2088.157,53.488,53.869,44.852,48.408,49.632,0.899,0.839,0.933,0.74,0.591,1.253,0.031,0.046,0.527,0.044,235.025,200.525,0.068,170.55,153.125,0,0,0,0.178,0.059,0,0.156,0.433,0.742,0.891,0.888,0.84,0.423,129.925,70.381,44.965,82.304,39.168,25.185,30.696,50.642,39.75,0.574,0.559,0.251,74.6,2017,27,4.7,45.79,6.22,56.16
CPSBB_TOM020,365.842,7759.722,89.126,91.242,105.156,112.635,115.67,1.239,1.187,1.311,0.817,0.449,1.824,0.063,0.091,0.49,0.067,281.333,223.167,0.129,128.6,99.267,0.005233333,0.001633333,0,0.244,0.167,0,0.742,0.415,0.744,0.881,0.888,1.187,0.398,138.347,59.43,46.792,87.087,38.264,35.582,28.609,38.829,45.679,2.513,0.726,0.15,442.73,3640,8,4.9,16.32,3.07,29.23
CPSBB_TOM021,311.182,5888.15,100.436,100.944,59.436,73.829,74.708,0.735,0.598,0.752,0.782,0.62,1.262,0.061,0.138,0.542,0.109,259.175,249.25,0.26,188.025,162.817,0.054725,0.01985,0,0.155,0.289,0,0.362,0.464,0.645,0.889,0.888,0.597,0.489,143.479,66.106,52.319,92.121,40.688,34.411,28.454,39.535,44.659,2.284,0.713,0.155,409.62,3511,9,5.2,22.9,3.6,34.99
CPSBB_TOM022,104.051,755.932,30.776,30.882,28.914,30.374,31.63,0.982,0.938,1.027,0.679,0.633,1.073,0.019,0.025,0.527,0.037,222.275,178.767,0.069,167.375,154.7,3e-04,0.0014,0,0.114,0.023,0,0.033,0.487,0.76,0.892,0.886,0.94,0.414,121.599,108.398,59.912,85.443,48.926,-2.554,33.937,94.314,34.038,0.787,0.556,0.252,13.71,1367,92,7.4,32.32,6.04,62.07
CPSBB_TOM023,113.82,874.789,34.544,34.989,29.633,31.284,32.238,0.898,0.861,0.937,0.739,0.582,1.27,0.027,0.042,0.526,0.032,224.4,189.975,0.048,167.975,152.35,0.000675,0.00145,0,0.184,0.027,0,0.096,0.431,0.757,0.889,0.888,0.862,0.414,74.985,51.601,38.081,53.255,25.237,10.057,13.584,53.884,17.057,0.634,0.579,0.237,20.39,1099,59,7.7,32.64,5.34,53.44
CPSBB_TOM024,116.492,904.452,28.131,28.236,39.137,40.174,40.52,1.428,1.396,1.441,0.721,0.562,1.303,0.038,0.112,0.529,0.022,206.958,157.1,0.032,136.175,118.775,0,0,0.032025,0.103,0.03,0.010075,0.086,0.498,0.777,0.889,0.886,1.396,0.394,123.805,68.788,49.135,81.371,37.78,23.742,25.586,47.149,34.908,0.906,0.584,0.233,14.8,702,46,7.8,43.84,7.31,68.43
CPSBB_TOM025,97.765,667.99,26.945,27.093,29.76,30.459,31.229,1.123,1.103,1.15,0.694,0.626,1.11,0.023,0.045,0.531,0.018,198.725,167.4,0.024,167.05,141.875,0,0,0.03595,0.098,0.022,0.009675,0.031,0.494,0.779,0.889,0.884,1.101,0.402,118.1,63.478,45.018,76.75,35.494,24.105,25.076,46.097,34.847,0.845,0.555,0.254,11.06,1139,97,6.7,33.6,5.65,59.01
CPSBB_TOM026,53.518,202.052,16.87,16.912,14.182,14.69,17.191,0.868,0.84,1.039,0.711,0.61,1.169,0.023,0.05,0.533,0.032,219.7,171.833,0.038,169.15,156.05,0.0011,0.003375,0,0.14,0.012,0,0.029,0.464,0.768,0.889,0.882,0.838,0.413,90.435,90.106,55.865,70.234,39.866,-6.529,22.776,105.928,23.709,1.622,0.578,0.237,1.43,120,83,8.4,9.49,9.62,88.28
CPSBB_TOM027,77.34,417.158,20.828,20.969,24.186,24.864,25.49,1.186,1.162,1.218,0.688,0.594,1.161,0.026,0.061,0.504,0.018,203.2,163.767,0.022,160.1,129.933,0,0,0,0.125,0.029,0,0.054,0.479,0.777,0.89,0.886,1.161,0.398,110.128,56.126,37.567,69.493,32.053,24.421,25.241,46.06,35.173,0.698,0.553,0.254,6.01,530,72,8.3,41.47,11.78,124.24
CPSBB_TOM028,84.529,501.178,24.913,25.21,23.982,24.702,25.754,0.981,0.964,1.037,0.706,0.608,1.163,0.02,0.024,0.525,0.021,207.208,168.175,0.026,164.975,145.85,0,0,0,0.143,0.022,0,0.051,0.464,0.777,0.89,0.887,0.967,0.406,108.939,57.867,41.749,70.893,32.444,23.096,22.606,44.388,32.322,0.564,0.59,0.227,5.92,1100,165,8.1,37.56,6.24,67.76
CPSBB_TOM029,74.13,383.103,22.839,22.924,20.426,21.082,22.037,0.92,0.894,0.965,0.671,0.605,1.109,0.018,0.031,0.519,0.025,209.658,169.642,0.045,165.4,151.85,0,0,0,0.118,0.022,0,0.029,0.496,0.774,0.89,0.887,0.895,0.395,97.999,51.491,35.619,62.867,28.9,21.425,21.574,45.254,30.433,0.737,0.553,0.254,5.57,875,165,8.2,36.31,8.09,97.92
CPSBB_TOM030,74.725,388.879,22.31,22.437,20.616,21.442,22.566,0.956,0.924,1.016,0.69,0.607,1.137,0.019,0.023,0.528,0.031,220.1,167.575,0.044,165.15,147.9,0,0,0,0.142,0.015,0,0.032,0.46,0.767,0.891,0.885,0.922,0.407,119.584,101.753,51.863,80.723,46.703,-0.161,35.868,90.281,35.873,0.887,0.553,0.253,4.91,719,149,8.2,20.66,7.27,89.43
CPSBB_TOM031,104.917,763.939,31.665,31.814,27.982,29.041,31.165,0.914,0.885,0.978,0.733,0.663,1.106,0.024,0.037,0.554,0.029,208.45,176.592,0.037,170.192,151.325,0.000825,0.003625,0,0.137,0.03,0,0.044,0.466,0.769,0.89,0.886,0.884,0.421,103.935,56.458,38.99,67.262,31.235,21.342,22.738,46.867,31.219,0.837,0.585,0.232,18.79,765,46,7.1,46.43,9.62,105.25
CPSBB_TOM032,118.551,804.549,22.437,25.337,44.175,44.387,45.274,1.754,1.973,2.019,0.525,0.826,0.636,0.084,0.215,0.408,0,130.875,75.575,0,158.2,127.075,0,0,0.3594,0,0.05,0.405075,0,0.67,0.796,0.889,0.888,1.978,0.383,137.056,123.511,63.092,94.209,55.29,-4.325,41.089,95.891,41.361,1.582,0.57,0.243,14.84,701,47,6,32,6.02,68.37
CPSBB_TOM033,54.459,202.772,17.547,17.611,13.25,14.139,16.228,0.803,0.754,0.936,0.717,0.65,1.106,0.033,0.08,0.547,0.043,211.275,197.825,0.091,175.325,163.225,0.0016,0.0056,0.0274,0.091,0.021,0.00365,0.022,0.485,0.746,0.89,0.884,0.751,0.432,89.033,96.322,53.612,71.139,41.727,-11.704,27.097,113.16,29.544,2.019,0.55,0.254,1.23,100,81,7.4,12.2,8.12,75.85
