"Trait","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%"
"Perimeter","0.116199677666067","0.239748507589033","0.298953610210371","0.385097323608929","0.399274748909377","0.383596537937281","0.435755301566215","0.107843137254902","0.129785687801261","0.191271794871795","0.30396992481203","0.369619047619048","0.419959595959596","0.468","0.3","0.385185185185185","0.415833333333333","0.46","0.516666666666667","0.533333333333333","0.646666666666667","0.6","0.65","0.55","0.608888888888889","0.676666666666667","0.526666666666667","0.566666666666667"
"Area","0.313355385816457","0.410386102250041","0.446692604991381","0.494465488129368","0.478646221483868","0.386470412219822","0.321828215247569","0.0518207282913165","0.0961245828698554","0.137179487179487","0.201614035087719","0.223928571428571","0.237818181818182","0.251333333333333","0.3","0.328888888888889","0.3525","0.377777777777778","0.41","0.404444444444444","0.52","0.6","0.641666666666667","0.52","0.546666666666667","0.593333333333333","0.43","0.426666666666667"
"Width.Mid.height","0.0909359568283066","0.194338584098257","0.251936434746322","0.317927551023594","0.327316775954945","0.337334316221138","0.427874514276859","0.109686911436049","0.175704112650031","0.285140401228921","0.398081754355445","0.425922004674493","0.437370798841558","0.458246849863235","0.3","0.340740740740741","0.395833333333333","0.426666666666667","0.443333333333333","0.482222222222222","0.656666666666667","0.4","0.33","0.37","0.375555555555556","0.393333333333333","0.426666666666667","0.4"
"Maximum.Width","0.084247745694352","0.190842569994782","0.24953084470214","0.317142802648754","0.326199439200744","0.336263484982722","0.425813098245431","0.10574970261944","0.174212932773759","0.282447070530922","0.393963476494168","0.42447563703277","0.43544688919708","0.45661909520627","0.3","0.344444444444444","0.401666666666667","0.425555555555556","0.433333333333333","0.491111111111111","0.65","0.4","0.325","0.333333333333333","0.353333333333333","0.386666666666667","0.41","0.413333333333333"
"Height.Mid.width","0.127902175682723","0.386999998236736","0.408502704710453","0.4528501246912","0.444312472103101","0.347231238462209","0.273859266182068","0.0620535095035849","-0.0159826626933745","0.0395648866086503","0.123713981276132","0.153999111817542","0.194569254521132","0.200255398277078","0.4","0.346666666666667","0.351666666666667","0.384444444444444","0.43","0.433333333333333","0.496666666666667","0.4","0.655","0.543333333333333","0.597777777777778","0.663333333333333","0.493333333333333","0.44"
"Maximum.Height","0.124277510916442","0.360442761540188","0.396149787981539","0.456812986090127","0.455240409624002","0.377599698581466","0.345459385591503","0.0960918905631134","0.0450129454517691","0.0962327088637057","0.189641121959763","0.225036399197609","0.275801476230412","0.310363696929192","0.3","0.37037037037037","0.383333333333333","0.425555555555556","0.47","0.48","0.566666666666667","0.4","0.663333333333333","0.551666666666667","0.613333333333333","0.676666666666667","0.53","0.546666666666667"
"Curved.Height","0.103565019792186","0.303468343100587","0.350311927609471","0.423686753275054","0.425095153564873","0.370448552671933","0.359814106515101","0.133613445378151","0.0618909899888765","0.120605128205128","0.222135338345865","0.260166666666667","0.307555555555556","0.346","0.4","0.373333333333333","0.375","0.422222222222222","0.475","0.495555555555556","0.583333333333333","0.4","0.661666666666667","0.548333333333333","0.622222222222222","0.643333333333333","0.51","0.56"
"Fruit.Shape.Index.External.I","-0.150791440525587","0.399730456498208","0.443759492015565","0.498978578901009","0.521170614684106","0.510353905922533","0.455837804863792","-0.295518207282913","0.51294623655914","0.489984615384615","0.483639097744361","0.464261904761905","0.417212121212121","0.302","0.2","0.842962962962963","0.819166666666667","0.806666666666667","0.751666666666667","0.7","0.633333333333333","0.4","0.366666666666667","0.48","0.462222222222222","0.41","0.613333333333333","0.486666666666667"
"Fruit.Shape.Index.External.II","0.0994230281969115","0.403280676989805","0.448587024331991","0.494354292417164","0.515092158613459","0.508287695162535","0.458193635380092","0.0591036414565826","0.5328290693363","0.512","0.507067669172932","0.507738095238095","0.461414141414141","0.364666666666667","0.6","0.787407407407407","0.755","0.756666666666667","0.708333333333333","0.68","0.64","0.4","0.386666666666667","0.495","0.462222222222222","0.39","0.586666666666667","0.48"
"Curved.Fruit.Shape.Index","-0.00729630713657686","0.22797997850778","0.277631126454531","0.317760816356781","0.363828698816199","0.374885548750544","0.362512837046872","-0.0638655462184874","0.364072673340749","0.376928205128205","0.372832080200501","0.444857142857143","0.42359595959596","0.292","0.5","0.637037037037037","0.645833333333333","0.637777777777778","0.615","0.597777777777778","0.556666666666667","0.4","0.346666666666667","0.423333333333333","0.391111111111111","0.336666666666667","0.493333333333333","0.413333333333333"
