"Trait","Pearson","Spearman","Top30%","Top15%"
"Perimeter","0.385097323608929","0.30396992481203","0.46","0.608888888888889"
"Area","0.494465488129368","0.201614035087719","0.377777777777778","0.546666666666667"
"Width.Mid.height","0.317927551023594","0.398081754355445","0.426666666666667","0.375555555555556"
"Maximum.Width","0.317142802648754","0.393963476494168","0.425555555555556","0.353333333333333"
"Height.Mid.width","0.4528501246912","0.123713981276132","0.384444444444444","0.597777777777778"
"Maximum.Height","0.456812986090127","0.189641121959763","0.425555555555556","0.613333333333333"
"Curved.Height","0.423686753275054","0.222135338345865","0.422222222222222","0.622222222222222"
"Fruit.Shape.Index.External.I","0.498978578901009","0.483639097744361","0.806666666666667","0.462222222222222"
"Fruit.Shape.Index.External.II","0.494354292417164","0.507067669172932","0.756666666666667","0.462222222222222"
"Curved.Fruit.Shape.Index","0.317760816356781","0.372832080200501","0.637777777777778","0.391111111111111"
"Proximal.Fruit.Blockiness","0.111254432441265","0.197412539248161","0.373333333333333","0.133333333333333"
"Distal.Fruit.Blockiness","-0.0636452799322427","0.0869166985814028","0.281111111111111","0.0444444444444444"
"Fruit.Shape.Triangle","-0.132380078934825","-0.251799498746867","0.188888888888889","0.0555555555555556"
"Ellipsoid","0.286229790667708","0.28792442860985","0.311111111111111","0.108888888888889"
"Circular","0.362532286168641","0.296931471995449","0.337777777777778","0.0888888888888889"
"Rectangular","-0.0237337206238119","0.114315703685523","0.393333333333333","0.168888888888889"
"Shoulder.Height","0.122165580573978","0.231843260335082","0.405555555555556","0.124444444444444"
"Proximal.Angle.Micro","-0.215265561816959","-0.123097744360902","0.282222222222222","0.137777777777778"
"Proximal.Angle.Macro","0.177530654283026","0.192952380952381","0.382222222222222","0.0933333333333333"
"Proximal.Indentation.Area","0.176057900680105","0.272502674780619","0.391111111111111","0.173333333333333"
"Distal.Angle.Micro","0.189692133661821","0.126847117794486","0.31","0.175555555555556"
"Distal.Angle.Macro","0.0114046311231995","0.208942355889724","0.307777777777778","0.124444444444444"
"Distal.Indentation.Area","-0.0243035304121792","0.0855702746353712","0.328888888888889","0.0933333333333333"
"Distal.End.Protrusion","0.00960613232296034","0.135618467317306","0.422222222222222","0.122222222222222"
"Obovoid","-0.0369993038782931","-0.0370008191891734","0.261111111111111","0.144444444444444"
"Ovoid","-0.0931965417578515","-0.118775632895022","0.147777777777778","0.02"
"V..Asymmetry","0.043733502315074","0.195735042611981","0.35","0.217777777777778"
"H..Asymmetry.ob","-0.0980880332176333","0.0428278515559968","0.402222222222222","0.24"
"H..Asymmetry.ov","0.395175369902894","0.248320802005013","0.334444444444444","0.268888888888889"
"Width.Widest.Pos","-0.0136208513608014","0.123067669172932","0.366666666666667","0.193333333333333"
"Eccentricity","0.0247938562079884","0.199894357757936","0.454444444444444","0.3"
"Proximal.Eccentricity","-0.00672306364156399","0.0373646491020484","0.381111111111111","0.4"
"Distal.Eccentricity","-0.151830156526463","-0.130288496914543","0.237777777777778","0.0844444444444444"
"Fruit.Shape.Index.Internal","0.491065124763889","0.527007518796992","0.748888888888889","0.462222222222222"
"Eccentricity.Area.Index","-0.0536082725820972","-0.0249962974015282","0.282222222222222","0.0733333333333333"
"Average.Red","0.385943474834306","0.51853634085213","0.69","0.388888888888889"
"Average.Green","0.780515528000406","0.679598997493734","0.498888888888889","0.162222222222222"
"Average.Blue","0.72625684752304","0.765303258145363","0.636666666666667","0.253333333333333"
"Average.Luminosity","-0.00947282415237616","0.0420651629072682","0.317777777777778","0.0688888888888889"
"Average.L.Value","0.546501341031342","0.668972431077694","0.516666666666667","0.157777777777778"
"Average.a.Value","0.932732156099383","0.779802367661564","0.873333333333333","0.544444444444444"
"Average.b.Value","0.369726647414889","0.520691729323308","0.6","0.502222222222222"
"Average.Hue","0.87562647191091","0.775047619047619","0.616666666666667","0.591111111111111"
"Average.Chroma","0.727371602587871","0.574115288220551","0.794444444444445","0.54"
"Lobedness.Degree","0.653011294794445","0.560611528822055","0.377777777777778","0.0977777777777778"
"Pericarp.Area","0.114814819736727","0.140576679083759","0.386666666666667","0.168888888888889"
"Pericarp.Thickness","0.192006242101344","0.175890849066089","0.433333333333333","0.193333333333333"
"Average.fruit.weight","0.542302542689725","0.359993316624896","0.466666666666667","0.58"
"Productivity.per.plant","0.451103034907965","0.0444658599671688","0.302222222222222","0.54"
"Fruit.number.per.plant","0.464202918219777","0.497917828918435","0.563333333333333","0.457777777777778"
"Brix..","0.230915502963725","0.2465402718894","0.453333333333333","0.162222222222222"
"BNTC","NaN","NaN","NaN","NaN"
"FRAP..umol.Fe2..g.FW","NaN","NaN","NaN","NaN"
"TP..mg.GAE.100g.FW","NaN","NaN","NaN","NaN"
