"Trait","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%"
"Perimeter","0.171729999703772","0.371502591921567","0.407660378373414","0.463843398189568","0.506031074370826","0.520820332163823","0.542669835373127","0.142551566080978","0.344912494912495","0.351640579710145","0.421555555555556","0.500776556776557","0.522333333333333","0.518666666666667","0.3","0.441666666666667","0.44","0.505555555555556","0.508333333333333","0.584444444444444","0.586666666666667","0.4","0.508333333333333","0.505","0.488888888888889","0.533333333333333","0.673333333333333","0.586666666666667"
"Area","0.235171173261236","0.456366574141244","0.483711145935296","0.497327290082534","0.497870762249672","0.493965356441595","0.465212936149471","0.06585179526356","0.377822547822548","0.382573913043478","0.386350877192983","0.405157509157509","0.403666666666667","0.38","0.3","0.385","0.401904761904762","0.415555555555556","0.425","0.493333333333333","0.506666666666667","0.4","0.471666666666667","0.45","0.451111111111111","0.47","0.573333333333333","0.506666666666667"
"Width.Mid.height","0.187180707698946","0.41773083457233","0.427048169281693","0.451823501640108","0.479453907499245","0.491415476185738","0.543815129164134","0.060666259877026","0.473653304480572","0.486405312429174","0.532630862461041","0.545327429187985","0.536391802324031","0.496090629080786","0.2","0.380833333333333","0.395238095238095","0.497777777777778","0.465","0.544444444444444","0.46","0.2","0.306666666666667","0.36","0.326666666666667","0.27","0.213333333333333","0.46"
"Maximum.Width","0.180301902765288","0.415075784724262","0.424495380767821","0.450065774195046","0.477898870158819","0.487543019581549","0.541841332631583","0.0627960275019099","0.462393162393162","0.478927536231884","0.525730994152047","0.540336996336996","0.527444444444444","0.488","0.2","0.3775","0.402857142857143","0.5","0.45","0.537777777777778","0.446666666666667","0.2","0.261666666666667","0.291666666666667","0.284444444444444","0.24","0.186666666666667","0.446666666666667"
"Height.Mid.width","0.104437516840511","0.433256365818772","0.458806629771376","0.460228680939013","0.453155728816473","0.460952132526386","0.299271319942347","-0.0252120101583848","0.123992985899044","0.128019306863052","0.148057745491288","0.196936366160047","0.25049522500725","0.247423012763846","0.3","0.3675","0.383809523809524","0.378888888888889","0.39","0.46","0.513333333333333","0.2","0.538333333333333","0.465","0.471111111111111","0.53","0.666666666666667","0.513333333333333"
"Maximum.Height","0.113555736351362","0.406126482796026","0.450803073083041","0.476700531339729","0.487269969977856","0.500277969961767","0.410543616744131","0.0597448240722938","0.231954979591582","0.226289749178229","0.258455884978659","0.324916383952529","0.356773469149071","0.366468802129375","0.3","0.414166666666667","0.424761904761905","0.454444444444444","0.471666666666667","0.513333333333333","0.573333333333333","0.2","0.521666666666667","0.483333333333333","0.506666666666667","0.59","0.68","0.573333333333333"
"Curved.Height","0.133874022794532","0.402409030743263","0.445491584417612","0.475945272901871","0.488217343302407","0.499500169903587","0.445555615602613","0.039877769289534","0.258648758648759","0.253913043478261","0.28893567251462","0.371223443223443","0.388111111111111","0.396","0.3","0.381666666666667","0.400952380952381","0.431111111111111","0.48","0.522222222222222","0.566666666666667","0.2","0.53","0.511666666666667","0.513333333333333","0.576666666666667","0.546666666666667","0.566666666666667"
"Fruit.Shape.Index.External.I","-0.183351944185364","0.704394512742041","0.7003234415035","0.706591029922379","0.710296544176071","0.701258250333599","0.621145676689415","-0.144996180290298","0.565213675213675","0.558869565217391","0.54966081871345","0.543091575091575","0.524888888888889","0.448","0.2","0.806666666666667","0.815238095238095","0.796666666666667","0.751666666666667","0.735555555555556","0.58","0.2","0.326666666666667","0.408333333333333","0.433333333333333","0.47","0.373333333333333","0.58"
"Fruit.Shape.Index.External.II","0.28619600169858","0.689869441610676","0.688253192544171","0.692827043303636","0.706678807233541","0.688266604719638","0.6323712959167","0.109549274255157","0.625567765567765","0.614666666666667","0.602514619883041","0.59774358974359","0.586","0.517333333333333","0.6","0.763333333333333","0.761904761904762","0.755555555555556","0.715","0.726666666666667","0.606666666666667","0.4","0.456666666666667","0.5","0.506666666666667","0.516666666666667","0.38","0.606666666666667"
"Curved.Fruit.Shape.Index","0.0732947033841701","0.415849233943612","0.41449380692369","0.423715831738375","0.4708622241983","0.455675986129663","0.497932690885543","-0.0539343009931245","0.528827838827839","0.509779710144928","0.510538011695907","0.515809523809524","0.483666666666667","0.432","0.5","0.6625","0.636190476190476","0.633333333333333","0.601666666666667","0.604444444444444","0.486666666666667","0.4","0.553333333333333","0.541666666666667","0.506666666666667","0.456666666666667","0.3","0.486666666666667"
"Proximal.Fruit.Blockiness","0.335262726352613","0.0545001325644879","0.128603233332774","0.19857079164316","0.246343797186252","0.249482295740092","0.303953463709687","0.546829640947288","0.104143264143264","0.169495652173913","0.21953216374269","0.258901098901099","0.232222222222222","0.24","0.6","0.2325","0.283809523809524","0.434444444444444","0.358333333333333","0.44","0.373333333333333","0.2","0.00166666666666667","0.01","0.0266666666666667","0.07","0.02","0.373333333333333"
"Distal.Fruit.Blockiness","0.187682037935397","0.0904261507718335","0.0881858360291218","0.0741697582275837","0.0537697147496993","0.0623734377313088","0.0922699745840112","0.181970970206264","0.157024827024827","0.169901449275362","0.163567251461988","0.157684981684982","0.164222222222222","0.0986666666666667","0.3","0.246666666666667","0.245714285714286","0.291111111111111","0.265","0.308888888888889","0.22","0","0.0583333333333333","0.085","0.0511111111111111","0.0766666666666667","0.0466666666666667","0.22"
"Fruit.Shape.Triangle","0.0824711061752443","-0.297170784830111","-0.301953878692621","-0.297845090987615","-0.329167189418843","-0.361020116007648","-0.335254756959389","0.101909854851031","-0.36021571021571","-0.363942028985507","-0.334713450292398","-0.35185347985348","-0.338111111111111","-0.305333333333333","0.3","0.115833333333333","0.120952380952381","0.155555555555556","0.146666666666667","0.182222222222222","0.126666666666667","0.4","0.0916666666666667","0.141666666666667","0.0977777777777778","0.0533333333333333","0.00666666666666667","0.126666666666667"
"Ellipsoid","0.520976637072241","0.384887666389675","0.38000734977128","0.373306892126093","0.395748791506191","0.340445258225948","0.381746293132977","0.476583392024256","0.374324766256168","0.376113288990536","0.375008962501659","0.384375073863892","0.332594805913128","0.319783629786442","0.4","0.3625","0.381904761904762","0.402222222222222","0.385","0.406666666666667","0.333333333333333","0.2","0.221666666666667","0.238333333333333","0.244444444444444","0.223333333333333","0.146666666666667","0.333333333333333"
"Circular","0.441676560938375","0.354955409202367","0.378672231924522","0.39782146380439","0.409563509897063","0.332170219848577","0.380451949417176","0.33475935828877","0.372372812372812","0.377878260869565","0.381590643274854","0.387369963369963","0.324111111111111","0.312","0.4","0.3675","0.351428571428571","0.377777777777778","0.348333333333333","0.364444444444444","0.293333333333333","0","0.205","0.176666666666667","0.177777777777778","0.186666666666667","0.1","0.293333333333333"
"Rectangular","0.298578270994992","0.215178734529356","0.206934335677345","0.185868799807493","0.174276361375153","0.131024683074777","0.116046377924648","0.367150496562261","0.240927960927961","0.241634782608696","0.203005847953216","0.210315018315018","0.146222222222222","0.112","0.4","0.428333333333333","0.421904761904762","0.405555555555556","0.388333333333333","0.408888888888889","0.34","0.2","0.178333333333333","0.195","0.166666666666667","0.106666666666667","0.0866666666666667","0.34"
"Shoulder.Height","0.301481413926305","0.146677990905101","0.150914833121852","0.179011997258976","0.238529216702936","0.176007629246389","0.297960823338942","0.121323248883379","0.229773018908371","0.239192182076143","0.27319822341562","0.351962156382475","0.285767761915554","0.317766073760449","0.3","0.394166666666667","0.399047619047619","0.47","0.526666666666667","0.528888888888889","0.4","0","0.151666666666667","0.233333333333333","0.306666666666667","0.3","0.226666666666667","0.4"
"Proximal.Angle.Micro","0.169441096204158","-0.264847298679114","-0.222861526582788","-0.202266263444472","-0.2146144855036","-0.234334614451027","-0.00122563527110624","0.239743296597005","-0.174139648484846","-0.117904707741954","-0.0891075666641075","-0.093265516355739","-0.109344980251408","0.0527748517734456","0.4","0.240833333333333","0.269523809523809","0.345555555555556","0.325","0.34","0.34","0.2","0.143333333333333","0.183333333333333","0.164444444444444","0.2","0.126666666666667","0.34"
"Proximal.Angle.Macro","-0.217041394655759","-0.00367968095607069","0.0429055224228302","0.0775161543275862","0.0730890055284126","0.156834008575821","0.262041804582908","-0.0572956455309396","-0.0327269027269027","0.0442028985507246","0.109637426900585","0.100395604395604","0.180666666666667","0.236","0.2","0.215833333333333","0.268571428571429","0.341111111111111","0.291666666666667","0.408888888888889","0.3","0","0.0116666666666667","0.06","0.0822222222222222","0.0966666666666667","0.1","0.3"
"Proximal.Indentation.Area","0.382923788103923","0.235839088203731","0.223362422049284","0.220951272648824","0.257557131575106","0.168885381218186","0.293985866318238","0.215584415584416","0.252140822140822","0.233310144927536","0.245146198830409","0.308835164835165","0.199888888888889","0.261333333333333","0.3","0.356666666666667","0.337142857142857","0.402222222222222","0.425","0.435555555555556","0.326666666666667","0.2","0.0583333333333333","0.12","0.162222222222222","0.19","0.14","0.326666666666667"
"Distal.Angle.Micro","0.164170907750032","0.228183282011879","0.223460265744514","0.230303686422711","0.246013276119921","0.225228202950477","0.154485485219073","0.330175706646295","0.183695563695564","0.182295652173913","0.164152046783626","0.154930402930403","0.0823333333333333","0.052","0.4","0.2925","0.301904761904762","0.346666666666667","0.326666666666667","0.364444444444444","0.246666666666667","0.2","0.248333333333333","0.276666666666667","0.24","0.203333333333333","0.0533333333333333","0.246666666666667"
"Distal.Angle.Macro","0.237824107748791","0.263410206422559","0.248726476251519","0.262480844511075","0.292058891623381","0.312090801185913","0.360660939394915","0.388235294117647","0.416491656491656","0.393976811594203","0.375812865497076","0.370461538461538","0.321333333333333","0.358666666666667","0.2","0.338333333333333","0.300952380952381","0.326666666666667","0.24","0.34","0.246666666666667","0.4","0.18","0.135","0.0711111111111111","0.0666666666666667","0.0266666666666667","0.246666666666667"
"Distal.Indentation.Area","0.130446997728237","0.0340624155221644","0.0471350201032593","0.059345079431717","0.0657602112775168","0.0404670759553493","0.140303374846199","0.263368551679827","0.344053447672215","0.229019665895759","0.145457622688469","0.160957087342904","0.0788538212488566","0.105144338695494","0.5","0.484166666666667","0.438095238095238","0.362222222222222","0.378333333333333","0.395555555555556","0.313333333333333","0.2","0.205","0.196666666666667","0.204444444444444","0.136666666666667","0.0733333333333333","0.313333333333333"
