"Trait","Pearson","Spearman","Top30%","Top15%"
"Perimeter","0.520820332163823","0.522333333333333","0.584444444444444","0.673333333333333"
"Area","0.493965356441595","0.403666666666667","0.493333333333333","0.573333333333333"
"Width.Mid.height","0.491415476185738","0.536391802324031","0.544444444444444","0.213333333333333"
"Maximum.Width","0.487543019581549","0.527444444444444","0.537777777777778","0.186666666666667"
"Height.Mid.width","0.460952132526386","0.25049522500725","0.46","0.666666666666667"
"Maximum.Height","0.500277969961767","0.356773469149071","0.513333333333333","0.68"
"Curved.Height","0.499500169903587","0.388111111111111","0.522222222222222","0.546666666666667"
"Fruit.Shape.Index.External.I","0.701258250333599","0.524888888888889","0.735555555555556","0.373333333333333"
"Fruit.Shape.Index.External.II","0.688266604719638","0.586","0.726666666666667","0.38"
"Curved.Fruit.Shape.Index","0.455675986129663","0.483666666666667","0.604444444444444","0.3"
"Proximal.Fruit.Blockiness","0.249482295740092","0.232222222222222","0.44","0.02"
"Distal.Fruit.Blockiness","0.0623734377313088","0.164222222222222","0.308888888888889","0.0466666666666667"
"Fruit.Shape.Triangle","-0.361020116007648","-0.338111111111111","0.182222222222222","0.00666666666666667"
"Ellipsoid","0.340445258225948","0.332594805913128","0.406666666666667","0.146666666666667"
"Circular","0.332170219848577","0.324111111111111","0.364444444444444","0.1"
"Rectangular","0.131024683074777","0.146222222222222","0.408888888888889","0.0866666666666667"
"Shoulder.Height","0.176007629246389","0.285767761915554","0.528888888888889","0.226666666666667"
"Proximal.Angle.Micro","-0.234334614451027","-0.109344980251408","0.34","0.126666666666667"
"Proximal.Angle.Macro","0.156834008575821","0.180666666666667","0.408888888888889","0.1"
"Proximal.Indentation.Area","0.168885381218186","0.199888888888889","0.435555555555556","0.14"
"Distal.Angle.Micro","0.225228202950477","0.0823333333333333","0.364444444444444","0.0533333333333333"
"Distal.Angle.Macro","0.312090801185913","0.321333333333333","0.34","0.0266666666666667"
"Distal.Indentation.Area","0.0404670759553493","0.0788538212488566","0.395555555555556","0.0733333333333333"
"Distal.End.Protrusion","0.0635559786644492","0.1571068395717","0.464444444444444","0.273333333333333"
"Obovoid","-0.263835656408717","-0.169275449617816","0.313333333333333","0.153333333333333"
"Ovoid","0.151597842474316","0.137233985853138","0.268888888888889","0.0133333333333333"
"V..Asymmetry","0.02979466498476","0.174275359206189","0.444444444444444","0.0466666666666667"
"H..Asymmetry.ob","NaN","NaN","1","1"
"H..Asymmetry.ov","0.303579595403234","0.377666666666667","0.444444444444444","0.0866666666666667"
"Width.Widest.Pos","0.136890407356903","0.208666666666667","0.486666666666667","0.2"
"Eccentricity","0.0829955987802135","0.204555555555556","0.457777777777778","0.1"
"Proximal.Eccentricity","0.527943279137906","0.210334465201585","0.506666666666667","0.673333333333333"
"Distal.Eccentricity","-0.463104679097937","-0.296240602670201","0.168888888888889","0"
"Fruit.Shape.Index.Internal","0.6807559912149","0.597444444444444","0.731111111111111","0.38"
"Eccentricity.Area.Index","-0.0705649326648188","-0.0114444444444444","0.313333333333333","0.0333333333333333"
"Average.Red","0.6687716066763","0.586","0.677777777777778","0.266666666666667"
"Average.Green","0.930083440271806","0.704666666666667","0.56","0.126666666666667"
"Average.Blue","0.886466012241712","0.780666666666667","0.682222222222222","0.153333333333333"
"Average.Luminosity","0.207910751840144","0.144888888888889","0.382222222222222","0.0333333333333333"
"Average.L.Value","0.840619743615278","0.702444444444444","0.553333333333333","0.0933333333333333"
"Average.a.Value","0.957051331927132","0.708111111111111","0.815555555555556","0.626666666666667"
"Average.b.Value","0.597297832538591","0.616","0.666666666666667","0.366666666666667"
"Average.Hue","0.966988496675877","0.770888888888889","0.666666666666667","0.686666666666667"
"Average.Chroma","0.842433268648996","0.624666666666667","0.748888888888889","0.506666666666667"
"Lobedness.Degree","0.686622166181419","0.522222222222222","0.426666666666667","0.08"
"Pericarp.Area","0.177298359478164","0.159444444444444","0.471111111111111","0.0666666666666667"
"Pericarp.Thickness","0.264191906726497","0.198111111111111","0.462222222222222","0.08"
