Taxa,Perimeter,Area,Width.Mid.height,Maximum.Width,Height.Mid.width,Maximum.Height,Curved.Height,Fruit.Shape.Index.External.I,Fruit.Shape.Index.External.II,Curved.Fruit.Shape.Index,Proximal.Fruit.Blockiness,Distal.Fruit.Blockiness,Fruit.Shape.Triangle,Ellipsoid,Circular,Rectangular,Shoulder.Height,Proximal.Angle.Micro,Proximal.Angle.Macro,Proximal.Indentation.Area,Distal.Angle.Micro,Distal.Angle.Macro,Distal.Indentation.Area,Distal.End.Protrusion,Obovoid,Ovoid,V..Asymmetry,H..Asymmetry.ob,H..Asymmetry.ov,Width.Widest.Pos,Eccentricity,Proximal.Eccentricity,Distal.Eccentricity,Fruit.Shape.Index.Internal,Eccentricity.Area.Index,Average.Red,Average.Green,Average.Blue,Average.Luminosity,Average.L.Value,Average.a.Value,Average.b.Value,Average.Hue,Average.Chroma,Lobedness.Degree,Pericarp.Area,Pericarp.Thickness
CPSBB_TOM001,214.2890345,3064.601593,66.02460224,66.62007682,52.2565322,57.278305,58.25664378,0.867876251,0.802125958,0.89905423,0.762079672,0.599464802,1.282946829,0.039850501,0.066451605,0.538182035,0.061278924,225.4112159,213.9370206,0.129298797,166.1716338,150.9544979,0.001535025,0.002619065,0.004509033,0.178533896,1.283046231,0.891995783,0.220680836,0.437359577,0.730132904,0.888514469,0.887936005,0.802280921,0.434693978,122.9743409,60.96458342,45.31466893,79.29456146,35.84942493,28.05510744,25.77210446,42.42489099,38.12303538,1.65977757,0.634047177,0.203550081
CPSBB_TOM002,326.4922385,6364.519683,102.3419414,102.9675816,62.87314762,77.04037297,83.07827763,0.752416152,0.620949382,0.811267085,0.780928375,0.653825171,1.210408531,0.067206551,0.135200922,0.555932683,0.079837136,235.9139683,245.2318435,0.175069911,171.9539781,168.9672262,0.001614321,0.002918582,0.004509033,0.15459144,1.283046231,0.891995783,0.377432439,0.457520242,0.655760282,0.890321844,0.887231333,0.620304237,0.486795043,136.0205671,61.32989524,45.65065797,85.42880049,38.34692488,33.63777678,29.63330033,41.42866794,44.72902325,1.927680637,0.771227441,0.120697769
CPSBB_TOM003,325.1950905,6846.218118,92.65793799,93.96691031,82.48670001,92.76586596,93.95180312,0.989812252,0.896554964,1.029963956,0.764389206,0.583495485,1.329992462,0.052965894,0.070177023,0.521944203,0.081265723,242.0177568,225.7813375,0.188419519,165.4154509,138.0323469,0.001667629,0.003272513,0.005349883,0.175025531,1.283046232,0.891995783,0.414563273,0.441086619,0.711703655,0.890297872,0.887947059,0.896620217,0.442388899,138.8733011,60.3007479,44.94849301,86.37233189,38.62109926,35.49632436,30.69026125,40.94172386,46.75486366,1.837295269,0.743316889,0.15757858
CPSBB_TOM004,322.6005476,6577.455011,103.5166712,104.1919937,68.67921367,77.87986421,79.82031658,0.752356878,0.672043293,0.775951465,0.763337528,0.639085292,1.211444541,0.050640858,0.118025527,0.547494823,0.063954703,217.5917486,223.2112149,0.190226326,169.2959845,161.7679003,0.001667629,0.003272513,0.005349883,0.146832342,1.283046232,0.891995783,0.294703518,0.462337441,0.710423669,0.88940839,0.888745267,0.67267798,0.450708918,151.8383812,72.07068016,54.71036365,96.78574409,43.41666443,35.10571107,30.88480757,41.41159461,46.6056148,2.127620727,0.705767013,0.156880145
CPSBB_TOM005,298.7975032,5046.994203,97.12393291,97.83174809,51.96279185,64.04067045,66.67499911,0.657009521,0.540987,0.696079857,0.764750694,0.666119958,1.162313415,0.066898913,0.169183474,0.570550863,0.123556227,238.6975926,238.4707523,0.297210004,133.5153223,166.9556525,0.014460274,0.019651572,0.02658059,0.134189255,1.283046231,0.891995783,0.178519435,0.455934774,0.654142451,0.890650458,0.888617189,0.541096017,0.49054879,146.5866672,77.14564382,55.5629498,94.93328044,43.97161446,29.41369697,31.05366446,46.87341472,42.8273109,2.041558259,0.739142834,0.139733167
CPSBB_TOM006,290.3061076,5579.131555,86.56268369,86.99639199,72.608542,78.63645923,79.92072103,0.905882579,0.840510826,0.930243686,0.713357194,0.664930825,1.079317797,0.036845122,0.05549639,0.542692788,0.050408103,235.7560322,204.9075503,0.091068605,164.9872983,160.7609198,0.004270737,0.00705191,0.057919436,0.083676513,1.283046231,0.891995783,0.094377876,0.496400236,0.737555891,0.889922813,0.887630647,0.840459722,0.433244746,141.9403746,63.83243557,46.67194634,88.61014733,39.83100233,34.91681552,31.14190992,41.79223174,46.67662657,2.322757502,0.678177512,0.17328053
CPSBB_TOM007,255.4502696,4402.102997,78.44346247,78.87509424,64.11105337,69.79498142,70.6693901,0.885829112,0.818869072,0.916009246,0.738343566,0.605261826,1.232820128,0.034265702,0.056446951,0.528909932,0.053237818,235.1242877,206.3610748,0.107018798,163.5591289,149.8115583,0.001535025,0.002619065,0.004509033,0.15535789,1.283046231,0.891995783,0.218392657,0.460060594,0.734558146,0.890603513,0.887630647,0.818556249,0.426972662,177.7136849,129.4959532,59.69888023,111.0501817,61.38369741,11.37888615,52.82983384,77.95541935,54.1927165,1.551377173,0.622958513,0.213630258
CPSBB_TOM008,352.5676955,7769.629856,95.79183322,98.72857094,87.79237165,103.8838634,101.629005,1.045549613,0.915856493,1.065727519,0.740832049,0.591761596,1.307569382,0.06089178,0.072472231,0.502164874,0.089414418,243.7199362,237.6998996,0.254543856,156.7372623,131.2600733,0.020688434,0.019652618,0.034724936,0.133245389,1.283046233,0.891995783,0.371428224,0.428098443,0.681788175,0.888571513,0.886505982,0.917603765,0.453972161,138.143424,62.96544803,46.94757529,86.91669099,39.10340141,33.8658247,29.92382053,41.56821068,44.98996299,2.529525871,0.647773566,0.195378181
CPSBB_TOM009,315.407617,5715.031919,98.60584731,99.77334372,57.33404392,73.30217096,75.59100058,0.74032545,0.589632204,0.77640971,0.706404959,0.646095806,1.109877122,0.070377581,0.141878612,0.548748891,0.119712532,253.7212666,246.7514373,0.288092343,170.5547204,170.5291675,0.018682786,0.006612619,0.032370175,0.14249247,1.283046231,0.891995783,0.277522832,0.456493291,0.629589494,0.884805829,0.885892456,0.588655059,0.502974169,176.7273732,169.7717212,97.95740787,128.7880085,72.96268313,-10.66037783,45.36396107,103.211917,46.83229071,2.632625344,0.787715304,0.112808161
CPSBB_TOM010,316.8766516,5825.062344,98.66846344,99.60632473,57.12422939,73.57518571,75.65192804,0.742474908,0.586366444,0.773397644,0.801993459,0.597362585,1.382002665,0.069691313,0.140904287,0.554429098,0.142562478,272.0023734,256.8820626,0.292342681,178.6709024,171.8168032,0.015253234,0.036085047,0.004509033,0.18993941,1.283046231,0.891995783,0.365674369,0.43717941,0.626306249,0.889641144,0.886432705,0.586852103,0.510743001,143.0522847,67.67750716,51.35052272,91.30043067,41.01007607,33.38260405,29.59189641,41.6761372,44.51909333,1.351157391,0.779051794,0.129718954
