"Trait","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Pearson","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Spearman","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top30%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%","Top15%"
"Perimeter","0.74806953242101","0.756830640642114","0.749542320520359","0.733823567555857","0.702894419130416","0.663237960954044","0.619270456384802","0.728302833544302","0.725313156763936","0.720807597374698","0.705510251980786","0.681514627629309","0.662993865314721","0.635619753761347","0.581866666666667","0.583472222222222","0.595851851851852","0.601269841269841","0.58991452991453","0.605","0.599019607843137","0.346933333333333","0.358333333333333","0.34969696969697","0.404761904761905","0.372666666666667","0.392222222222222","0.365098039215686"
"Area","0.62466131538527","0.636949494988922","0.631577661922889","0.618041156356608","0.591701247980011","0.56328672918657","0.547595899497738","0.720586795740392","0.715589866791671","0.708963562825014","0.688174382074887","0.664798663553146","0.638400953769938","0.609006674183665","0.562133333333333","0.569027777777778","0.583851851851852","0.585555555555556","0.585811965811966","0.59037037037037","0.585490196078431","0.334133333333333","0.346944444444444","0.352424242424242","0.391428571428571","0.375666666666667","0.402222222222222","0.396078431372549"
"Width.Mid.height","0.696960085871318","0.707429998573688","0.702392250124911","0.685491371260107","0.656553642425202","0.619385925485583","0.581750012825953","0.721518645035131","0.715672089882871","0.713525359433475","0.69494433667672","0.667173771026427","0.647007500929612","0.617855192571093","0.565466666666667","0.565277777777778","0.574814814814815","0.565873015873016","0.555384615384615","0.562777777777778","0.561372549019608","0.322933333333333","0.326388888888889","0.322121212121212","0.346349206349206","0.328666666666667","0.332962962962963","0.32078431372549"
"Maximum.Width","0.701301102833662","0.711890229925839","0.706946621007849","0.690390109440431","0.661841026352579","0.625327994135217","0.588225260702079","0.724070887599189","0.718449772288145","0.716350856124977","0.698089272767569","0.670950032228265","0.651280161884246","0.622756000024465","0.5656","0.565277777777778","0.574518518518519","0.564761904761905","0.555726495726496","0.561296296296296","0.561764705882353","0.326666666666667","0.329444444444444","0.322727272727273","0.350793650793651","0.333333333333333","0.33962962962963","0.326666666666667"
"Height.Mid.width","0.721913632997868","0.723031952165335","0.710822490934339","0.687849083440836","0.642796860656486","0.578577469480138","0.49527925143825","0.629243372863806","0.61967462535733","0.60651609516184","0.574764008875429","0.53995955396857","0.494819961619039","0.449278595644001","0.4576","0.463333333333333","0.464444444444444","0.468888888888889","0.476239316239316","0.478333333333333","0.478627450980392","0.328","0.333055555555556","0.318181818181818","0.353968253968254","0.365666666666667","0.368518518518519","0.363921568627451"
"Maximum.Height","0.745410582497879","0.749741785268267","0.739070090400462","0.720067998339036","0.680869860120202","0.627225899076812","0.562304344287575","0.673895504801853","0.670177722887305","0.656622480515075","0.630908294380256","0.605063202579075","0.569010114947378","0.534887526322235","0.5052","0.510694444444444","0.512888888888889","0.521904761904762","0.524615384615385","0.531111111111111","0.534705882352941","0.3528","0.374722222222222","0.366666666666667","0.411746031746032","0.434666666666667","0.463333333333333","0.446666666666667"
"Curved.Height","0.741058026760554","0.746066260725569","0.73555245518242","0.717249172417195","0.679173815935996","0.62782164118801","0.568180156581628","0.67829220420058","0.675360834407594","0.661845142747085","0.637317005969692","0.612160064091184","0.577005208695048","0.543730424482637","0.500533333333333","0.504722222222222","0.505333333333333","0.517936507936508","0.526495726495727","0.53962962962963","0.539411764705882","0.373866666666667","0.400277777777778","0.398484848484848","0.451111111111111","0.465666666666667","0.489259259259259","0.475294117647059"
"Fruit.Shape.Index.External.I","0.130576496062453","0.134408229224181","0.138215049460245","0.12242715210102","0.105148309776344","0.0875106280428439","0.0602465764427298","0.0714428317516118","0.0982189148013594","0.109064497681378","0.102664450810173","0.115680618334266","0.132266453688914","0.144464015216228","0.358533333333333","0.363888888888889","0.378074074074074","0.375079365079365","0.388547008547009","0.39462962962963","0.400392156862745","0.189333333333333","0.218055555555556","0.247878787878788","0.247936507936508","0.278666666666667","0.27037037037037","0.267058823529412"
"Fruit.Shape.Index.External.II","0.0693990611440556","0.0832112929563641","0.0948857029003544","0.0922481012750423","0.083205590944433","0.088653131823236","0.118107747532947","0.0751888031166583","0.11376950271495","0.145166155532839","0.149036350251106","0.164345527955682","0.198748802000139","0.216405792644731","0.3556","0.370138888888889","0.387703703703704","0.391746031746032","0.405470085470085","0.412407407407407","0.413921568627451","0.171466666666667","0.186388888888889","0.216060606060606","0.231428571428571","0.255333333333333","0.25962962962963","0.262745098039216"
"Curved.Fruit.Shape.Index","0.0339122050054037","0.0473501609351931","0.0525867556530132","0.0558074957684223","0.0609442175559437","0.0754666968613017","0.115578495343851","0.0655112819268364","0.11360623461854","0.14080938708387","0.140285349835633","0.167605786555366","0.19487779243929","0.221275985479573","0.347866666666667","0.360833333333333","0.378814814814815","0.383650793650794","0.411282051282051","0.41537037037037","0.416078431372549","0.144266666666667","0.150277777777778","0.178484848484848","0.181904761904762","0.224","0.225185185185185","0.231372549019608"
