"Trait","Pearson","Spearman","Top30%","Top15%"
"Perimeter","0.619270456384802","0.635619753761347","0.599019607843137","0.365098039215686"
"Area","0.547595899497738","0.609006674183665","0.585490196078431","0.396078431372549"
"Width.Mid.height","0.581750012825953","0.617855192571093","0.561372549019608","0.32078431372549"
"Maximum.Width","0.588225260702079","0.622756000024465","0.561764705882353","0.326666666666667"
"Height.Mid.width","0.49527925143825","0.449278595644001","0.478627450980392","0.363921568627451"
"Maximum.Height","0.562304344287575","0.534887526322235","0.534705882352941","0.446666666666667"
"Curved.Height","0.568180156581628","0.543730424482637","0.539411764705882","0.475294117647059"
"Fruit.Shape.Index.External.I","0.0602465764427298","0.144464015216228","0.400392156862745","0.267058823529412"
"Fruit.Shape.Index.External.II","0.118107747532947","0.216405792644731","0.413921568627451","0.262745098039216"
"Curved.Fruit.Shape.Index","0.115578495343851","0.221275985479573","0.416078431372549","0.231372549019608"
"Proximal.Fruit.Blockiness","0.167189311600301","0.214510542641481","0.390588235294118","0.233725490196078"
"Distal.Fruit.Blockiness","0.017424266264659","0.029395166342069","0.303921568627451","0.123921568627451"
"Fruit.Shape.Triangle","0.0848672124215844","-0.0119940547374176","0.28","0.127450980392157"
"Ellipsoid","0.407406314907107","0.443710156609525","0.508627450980392","0.273333333333333"
"Circular","0.29722700333729","0.317083119782235","0.42156862745098","0.235686274509804"
"Rectangular","0.127314797463837","0.241543319552169","0.433333333333333","0.243921568627451"
"Shoulder.Height","0.414878611443493","0.443890588680689","0.519411764705882","0.247450980392157"
"Proximal.Angle.Micro","0.370407592076307","0.370452822301113","0.39921568627451","0.28"
"Proximal.Angle.Macro","0.355029273671941","0.423518126217241","0.481372549019608","0.242352941176471"
"Proximal.Indentation.Area","0.425515637174541","0.497829529059472","0.541960784313726","0.287450980392157"
"Distal.Angle.Micro","0.100559923316287","0.159507414000053","0.372745098039216","0.19843137254902"
"Distal.Angle.Macro","0.0289105339461522","0.0501212679647351","0.270588235294118","0.114901960784314"
"Distal.Indentation.Area","0.163220647649644","0.345819938980329","0.45078431372549","0.225882352941176"
"Distal.End.Protrusion","0.167173149829553","0.26805931067657","0.357843137254902","0.187450980392157"
"Obovoid","-0.0333048148919219","-0.0117162983296773","0.266274509803922","0.1"
"Ovoid","0.0581756694823236","0.00778051964121191","0.285882352941176","0.138039215686275"
"V..Asymmetry","-0.0318606620791257","-0.00171490477802467","0.258627450980392","0.0392156862745098"
"H..Asymmetry.ob","NaN","NaN","1","1"
"H..Asymmetry.ov","0.360117909234756","0.37013490828403","0.452352941176471","0.377647058823529"
"Width.Widest.Pos","0.131345135557255","0.131214435080984","0.401764705882353","0.244705882352941"
"Eccentricity","0.376937244138972","0.421814202377755","0.526470588235294","0.434117647058824"
"Proximal.Eccentricity","-0.0766618457038621","-0.0391111746219309","0.301372549019608","0.120392156862745"
"Distal.Eccentricity","0.150987887515473","0.215391943234897","0.45078431372549","0.207843137254902"
"Fruit.Shape.Index.Internal","0.117752143770488","0.216497135567932","0.413333333333333","0.262352941176471"
"Eccentricity.Area.Index","0.316356465801827","0.320312071766647","0.449803921568627","0.254117647058824"
"Average.Red","0.327528268504801","0.320744524549834","0.401176470588235","0.205490196078431"
"Average.Green","0.198236597707356","0.20011303971481","0.347647058823529","0.129019607843137"
"Average.Blue","0.249427954168529","0.165159793168643","0.310196078431373","0.12"
"Average.Luminosity","0.336559042617383","0.236343777405724","0.352745098039216","0.150196078431373"
"Average.L.Value","0.231751389863451","0.14523877860161","0.320980392156863","0.110980392156863"
"Average.a.Value","0.290162291525493","0.37263584697213","0.453725490196078","0.362745098039216"
"Average.b.Value","0.0783698042733428","0.0453332536075899","0.348039215686274","0.163529411764706"
"Average.Hue","0.192925256980229","0.297942449402626","0.396470588235294","0.229803921568627"
"Average.Chroma","0.258675282554263","0.308036981355565","0.454313725490196","0.364313725490196"
"Lobedness.Degree","0.303468032347959","0.378364654161114","0.432156862745098","0.205490196078431"
"Pericarp.Area","0.476242907688093","0.581065321624402","0.548823529411765","0.334509803921569"
"Pericarp.Thickness","0.483880816164081","0.581875649980597","0.579411764705882","0.447450980392157"
